U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13
128.85875,1351.5181,1111.59155,89.14505,639.3344,206.1771,23.48085,852.0339,232.6175,375.31085,533.7305,11.3492,9.0714
138.22525,1426.4247,1143.3225,89.56205,640.80715,206.81835,24.0971,891.5603,233.3474,375.63215,540.10505,11.61045,9.3686
139.9632,1457.4165,1146.4188,91.85705,657.2114,207.892,24.59705,935.1379,233.35,375.8885,569.19115,11.8437,9.6241
146.199,1520.63135,1154.80955,92.2249,664.586,208.5036,24.7947,1035.39825,233.42845,376.18295,576.10065,12.0936,9.8947
146.77875,1547.1954,1160.4656,92.53435,665.339,209.1294,25.55765,1082.9456,242.25855,376.5182,590.23235,12.3248,10.17545
155.0066,1556.9373,1281.0628,94.05705,665.54745,209.66425,26.0299,1086.2156,252.5483,377.3842,599.99025,12.56075,10.4723
161.97225,1564.76375,1311.6664,94.20625,674.2439,210.50925,26.38225,1088.62735,254.48005,404.2609,639.33885,12.7897,10.76045
162.40365,1578.82485,1324.22185,94.2834,711.0066,211.63975,26.8268,1116.00585,255.02845,424.97525,665.28745,13.05815,10.98355
163.33155,1589.15015,1334.2823,94.79215,716.42405,212.81245,27.69305,1135.28375,255.81975,438.10775,697.1505,13.2192,11.2132
164.0685,1625.52745,1351.4882,95.5968,726.13645,214.22685,28.11565,1161.09255,262.8552,438.18525,702.55745,13.4064,11.4634
164.95745,1653.1884,1362.87495,97.6057,726.13905,214.6262,28.57165,1311.6783,263.9049,438.6816,716.40015,13.628,11.6406
166.112,1660.78805,1405.99435,98.80225,732.3896,215.9002,28.95095,1341.39225,267.7718,447.67115,716.52045,13.9989,11.81665
169.4315,1665.7575,1417.29075,99.6134,739.3588,216.4821,30.14505,1377.3838,267.81735,486.81565,732.363,14.21335,11.9744
169.9683,1679.00105,1426.4116,101.8006,749.2874,216.6935,30.71575,1393.9719,267.8695,507.8546,759.62775,14.40815,12.1659
171.4996,1682.22805,1433.58695,102.5907,749.29755,217.92965,31.10575,1463.7305,267.90675,507.8584,835.5959,14.6341,12.387
173.574,1790.9964,1451.57875,104.36475,771.9953,230.0679,31.7869,1487.18455,271.826,552.0945,843.4123,14.8451,12.6786
173.83385,1811.3335,1457.3882,106.0597,774.9317,232.2746,32.202,1511.239,271.99925,584.78355,878.95365,15.0747,12.94895
174.9896,1831.7913,1470.2618,107.55165,785.86035,233.4022,32.8298,1511.25395,276.28595,590.2439,891.5457,15.2989,13.21315
183.362,1837.88455,1487.1184,108.68075,809.1362,234.46465,33.4026,1511.29705,281.3859,600.06905,935.12275,15.53495,13.5245
183.6642,1841.6564,1511.22405,108.94125,815.84605,252.5193,33.7816,1525.3933,281.39115,623.5074,939.4235,15.76705,13.78725
184.1505,1866.42765,1520.61865,109.23405,815.85725,264.2425,34.28895,1601.29545,291.179,665.57885,944.6012,16.26745,14.07015
185.2811,NaN,1541.28785,109.55015,825.0307,265.3337,34.54085,1660.80375,291.21535,697.15715,975.36275,16.53265,14.25
186.27985,NaN,1551.8773,110.07835,873.622,267.4446,34.7485,1716.36955,291.23975,710.9965,1004.32495,16.78065,14.4817
187.05475,NaN,1564.77025,110.39705,935.1571,272.07375,35.15115,1754.8804,294.61465,716.43745,1035.38225,17.0284,14.7598
188.1943,NaN,1575.0769,110.68765,939.3986,273.0637,35.64925,1791.0046,303.68875,716.61665,1045.09645,17.26785,14.94885
189.0827,NaN,1593.58975,110.88165,939.43325,282.3834,35.92675,1795.39895,304.20865,732.44185,1082.92685,17.49925,15.15695
190.50045,NaN,1603.5829,111.0495,962.497,284.0556,37.1881,1820.26435,304.4668,759.6458,1088.62275,17.7493,15.3647
192.0862,NaN,1616.64855,111.26645,969.64785,285.15775,37.6916,1834.04415,305.8102,809.18155,1115.9169,18.2346,15.6239
192.69585,NaN,1646.2365,111.6157,969.65805,287.1028,37.8705,NaN,305.8244,825.0411,1120.0888,18.4686,15.8479
194.3116,NaN,1672.01365,112.08905,994.74655,291.26135,38.20365,NaN,307.69415,829.5061,1135.269,18.7493,16.01345
195.5874,NaN,1699.615,112.29965,1004.33535,292.1407,38.8638,NaN,308.0872,866.5224,1311.66995,19.0129,16.2383
195.7221,NaN,1716.3517,112.6786,1035.3799,294.6151,39.19265,NaN,308.10915,891.5582,1319.4824,19.50975,16.412
195.95345,NaN,1722.8272,112.71515,1039.542,308.14685,39.7335,NaN,315.8104,923.75725,1341.4316,19.76485,16.6399
196.3207,NaN,1737.86705,112.7696,1052.1758,309.6077,40.44335,NaN,320.7164,935.1417,1370.84485,20.47825,16.92165
196.65745,NaN,1775.90535,115.13555,1052.17815,320.7425,41.0527,NaN,320.7394,939.42975,1451.5833,20.69975,17.1903
198.6142,NaN,1804.41505,115.63955,1088.60955,321.14595,41.33725,NaN,320.7615,939.6486,1487.16335,20.92395,17.4484
199.0629,NaN,1811.38745,119.02525,1088.6117,321.73235,41.7829,NaN,320.93315,949.88815,1578.8476,21.159,17.4933
201.66215,NaN,1833.96325,119.1265,1115.9825,325.3278,42.23385,NaN,321.22955,950.5856,1616.63335,21.3958,17.57575
202.35585,NaN,1852.14405,120.03115,1115.9855,326.0201,42.80445,NaN,333.6367,975.38105,1716.3602,21.6424,17.7383
206.0063,NaN,1866.38905,120.86515,1143.3241,338.5698,43.36075,NaN,344.21625,1039.66015,1820.1962,21.8976,17.98605
207.9967,NaN,1873.4149,124.28665,1146.4177,341.88625,44.7731,NaN,345.74805,1041.17205,1889.74865,22.1634,18.1666
214.2506,NaN,1889.73825,125.80615,1161.07675,352.1374,45.98465,NaN,352.1131,1041.8811,NaN,22.38815,18.3617
217.99725,NaN,1893.8504,126.7762,1280.949,353.026,46.28965,NaN,352.12595,1082.94485,NaN,22.6135,18.51945
219.0177,NaN,1899.4954,126.83135,1297.4019,353.6487,46.75545,NaN,352.99235,1115.98605,NaN,22.88125,18.71175
221.49205,NaN,1914.56005,127.1048,1302.99585,355.46205,47.11945,NaN,361.0543,1135.2919,NaN,23.37835,18.9224
222.21225,NaN,NaN,127.8559,1311.6697,356.43755,47.55035,NaN,361.0573,1135.905,NaN,23.6105,19.18655
266.0291,NaN,NaN,131.6628,1311.6797,361.05695,48.0479,NaN,361.07545,1161.0459,NaN,23.61615,19.4216
267.78895,NaN,NaN,132.24185,1311.68435,361.499,48.54725,NaN,361.08425,1161.2688,NaN,24.04315,19.66655
