U2
0.709
1.494
1.755
8.534
14.378
18.146
20.899
23.937
24.056
24.585
28.485
28.671
33.376
37.177
40.424
43.195
43.757
44.631
47.013
51.019
55.118
55.308
56.08
56.426
56.725
58.187
60.104
66.9
68.022
68.464
70.31
71.414
73.612
73.818
76.79
77.214
79.498
88.753
90.211
92.997
93.179
93.344
100.916
101.152
102.146
102.704
104.362
109.219
113.697
116.207
116.503
122.095
122.488
128.433
129.596
130.042
131.704
132.853
134.376
137.385
151.806
152.998
153.339
156.247
159.171
160.638
162.133
162.351
163.939
165.213
168.225
171.835
172.889
173.603
179.658
180.968
182.571
186.788
191.481
194.842
195.328
206.892
211.507
214.356
214.773
220.024
220.74
222.042
230.875
231.911
232.469
236.148
236.93
240.243
246.753
246.882
251.006
253.974
254.158
257.398
258.18
266.93
269.915
270.381
271.042
271.719
277.909
279.533
280.813
282.744
285.033
290.811
294.664
296.201
296.89
297.732
302.106
302.753
310.464
310.808
311.385
313.431
318.597
321.681
322.019
324.881
327.465
330.771
331.335
332.49
332.991
332.991
333.33
334.555
334.773
335.892
336.85
338.348
338.602
340.27
340.796
343.173
345.149
345.986
347.367
348.148
348.997
350.376
351.359
351.859
352.759
353.361
355.024
360.146
361.739
363.939
365.807
367.277
368.753
370.625
371.313
371.522
374.169
375.26
376.368
383.282
384.013
385.738
387.276
387.962
388.378
391.199
391.956
395.826
398.335
400.62
401.823
406.122
408.428
409.068
423.409
424.597
426.166
428.377
429.307
432.384
440.173
444.233
446.672
447.028
449.034
450.094
451.649
452.919
454.044
454.611
456.204
458.743
463.216
465.252
465.526
465.941
467.399
468.21
468.473
473.057
476.669
484.132
484.437
484.878
485.991
485.991
490.875
491.407
494.953
499.891
503.262
505.71
507.952
510.875
514.204
515.316
521.863
522.027
525.552
528.475
532.905
533.562
534.002
534.621
535.447
537.174
539.945
541.338
541.62
542.491
545.256
546.311
546.987
547.602
548.745
550.669
555.146
556.235
557.372
558.191
558.595
560.871
563.846
564.747
565.969
567.627
575.64
580.939
582.015
591.264
592.428
595.033
596.209
596.461
596.892
597.381
598.264
598.842
600.565
602.712
607.408
608.805
609.479
611.885
613.385
613.891
615.462
615.838
619.786
621.714
624.481
626.303
626.985
627.888
628.189
630.089
631.453
633.892
635.123
636.286
636.463
638.653
639.065
642.571
646.907
648.657
650.921
652.167
652.487
653.966
661.53
661.882
663.809
668.269
670.583
673.645
676.735
678.037
681.313
682.25
682.561
689.606
691.676
693.38
695.459
695.889
701.793
702.003
710.038
712.842
713.671
717.335
720.676
723.912
726.33
727.044
730.037
730.889
731.084
732.752
736.159
742.229
742.553
746.18
746.846
747.521
750.54
751.528
752.885
755.656
756.559
758.843
767.902
774.4
777.627
780.218
780.55
782.536
783.276
783.505
786.603
787.111
791.026
794.94
796.163
799.76
802.023
804.433
805.23
813.506
814.141
814.372
816.77
823.082
823.871
825.121
827.865
829.394
831.511
832.991
832.991
833.541
835.211
840.252
841.641
843.596
844.302
846.562
847.713
848.885
851.815
852.403
853.604
856.208
856.625
857.976
858.922
863.449
864.881
866.234
870.107
870.805
871.364
879.706
880.427
882.224
884.661
885.915
890.2
896.088
896.309
898.914
900.744
903.876
905.306
906.513
910.886
911.051
915.397
925.183
925.35
926.46
928.464
931.307
932.691
937.494
940.62
945.322
946.184
950.514
951.743
952.84
956.215
957.105
957.369
964.459
966.233
973.349
976
977.425
995.721
998.19
