U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
3.679,NaN,3.646,2.586,3.283,2.309,3.983,3.684,2.617,2.826,2.394,2.806,4.269,3.458,3.296,3.867,2.897,5.236,3.934,6.244,3.575,3.497,4.193,3.048,3.271,3.158,2.18,3.503,3.275,4.246,3.85,2.666,2.729,2.317,3.736,2.564,2.268,2.87,3.289,3.011,4.424,19.489,3.666,3.111,6.281,3.541,2.517,3.632,4.078,3.134,3.787,3.366,3.399,2.951,3.336,1.769,3.406,3.869,5.152,3.625,3.364,2.923,3.529,2.714,4.044,3.52,1.496,3.617,4.887,2.254,2.501,2.349,1.628,3.259,3.183,3.091,2.133,2.575,4.647,2.998
3.905,NaN,4.411,2.715,3.863,2.554,4.408,3.822,4.672,3.022,2.483,3.062,6.021,3.909,3.356,4.16,3.286,5.872,4.06,7.517,3.645,4.481,4.554,3.314,3.444,3.634,2.678,3.848,3.581,4.5,4.04,2.748,2.818,2.385,3.828,2.708,2.387,3.088,3.602,3.827,4.938,22.137,3.961,3.296,6.416,4.231,2.971,3.956,4.214,3.473,4.027,3.88,3.849,3.439,3.613,1.848,4.245,4.149,5.423,3.68,3.504,3.057,4.159,3.202,4.27,3.742,1.855,4.213,4.963,2.568,2.975,2.477,1.889,3.282,3.31,3.157,2.596,3.058,4.965,3.042
3.98,NaN,5.332,2.976,4.264,3.002,4.955,4.074,4.845,3.163,2.958,3.15,6.276,4.536,3.692,5.133,3.594,6.625,4.299,8.484,3.85,4.697,4.69,3.696,3.656,3.96,3.052,4.233,3.858,4.699,4.422,3.008,3.195,2.453,3.998,3.29,2.483,3.301,3.852,3.91,5.096,23.11,4.092,3.505,6.673,4.432,3.176,4.156,4.493,3.906,4.741,4.034,4.022,3.764,3.815,2.294,4.417,4.278,5.644,3.973,3.845,3.17,4.283,3.673,4.983,4.829,2.247,4.329,5.26,2.805,3.033,2.616,1.983,3.448,4.026,3.301,3.12,3.138,5.902,3.175
4.273,NaN,5.581,3.845,4.426,3.841,5.102,4.724,4.987,4.211,3.117,3.315,6.561,4.648,4.177,5.559,3.719,6.869,4.684,8.668,4.126,5.372,4.98,3.806,3.853,4.177,3.59,4.49,4.25,4.781,4.785,3.241,3.67,2.895,4.158,3.362,2.515,3.36,4.999,3.939,5.931,24.281,4.441,3.97,6.81,4.997,3.386,4.249,4.7,3.992,5.297,4.199,4.717,3.888,4.407,2.364,5.252,4.622,5.769,4.575,4.087,3.595,4.507,5.031,5.055,5.366,3.276,4.428,5.464,2.902,3.354,3.111,2.673,4.423,4.187,3.404,3.204,3.445,6.004,3.715
5.387,NaN,6.191,4.097,4.61,4.257,6.374,5.792,5.315,4.557,3.334,3.839,7.104,4.952,4.401,6.608,4.193,8.109,5.114,9.084,4.289,5.576,5.116,4.253,4.508,4.259,4.066,4.653,4.869,5.624,5.338,3.55,3.871,3.794,4.308,3.498,2.581,3.466,5.965,4.303,6.162,29.583,4.629,4.22,7.191,5.232,3.509,4.403,5.077,4.179,5.421,4.334,5.438,4.207,4.6,2.994,5.492,5.013,5.962,4.735,4.274,3.807,4.627,5.194,5.41,5.591,3.484,4.59,6.109,3.299,3.621,3.176,3.27,4.492,4.45,3.622,3.308,3.897,7.09,3.894
5.731,NaN,6.327,4.694,5.511,5.062,6.631,6.484,5.401,4.821,3.565,4.087,7.284,5.375,4.68,6.741,4.715,8.514,5.269,9.191,4.547,6.131,5.418,4.406,4.622,4.862,4.181,4.742,5.009,6.328,5.413,3.566,4.096,4.038,4.547,4.548,2.672,3.697,6.054,4.473,6.635,30.034,4.734,4.367,7.401,5.415,3.812,4.726,5.318,4.472,5.632,5.39,5.533,4.845,5.067,3.226,5.667,5.416,6.364,5.086,4.434,4.013,4.716,5.43,5.511,5.795,3.647,5.002,6.507,3.44,3.799,3.591,3.375,4.619,4.64,3.82,3.588,4.245,7.422,4.46
5.997,NaN,6.666,5.042,5.588,5.431,7.231,6.777,5.525,4.979,3.79,4.201,7.598,5.511,5.711,7.719,4.971,8.635,5.726,9.681,4.659,6.239,6.012,4.684,4.819,5.263,4.44,4.995,5.693,6.584,5.497,3.796,4.165,4.135,4.615,4.565,2.896,3.766,6.188,5.328,7.117,32.067,4.969,4.477,8.004,5.63,3.977,5.079,5.46,4.998,6.592,5.552,5.851,4.99,5.268,3.828,5.757,5.663,6.583,5.265,4.658,4.306,5.505,5.647,5.655,6.143,4.094,5.234,6.763,3.75,3.862,3.752,3.554,4.851,4.82,5.217,3.854,4.439,7.505,5.812
6.552,NaN,6.856,5.408,5.692,5.774,7.484,6.881,5.951,5.246,4.068,4.599,7.842,5.877,5.901,8.1,5.435,8.751,5.854,10.417,5.109,6.417,6.235,4.828,4.959,6.111,4.666,5.229,6.094,7.401,5.649,4.25,5.026,4.261,4.728,4.984,2.966,3.813,6.379,5.627,7.555,34.108,5.377,4.834,8.394,5.902,3.977,5.649,5.69,5.187,7.082,6.142,6.457,5.472,5.497,4.241,6.347,5.762,7.074,5.529,5.109,4.592,5.671,5.909,6.105,6.339,4.205,5.502,7.094,4.015,4.051,3.814,3.684,4.955,5.649,5.428,4.099,4.504,7.651,5.972
6.647,NaN,7.056,5.734,6.055,6.037,7.989,7.136,6.024,5.724,4.169,5.008,8.549,6.174,6.321,8.418,5.859,8.913,6.092,11.155,5.3,6.605,6.321,5.113,5.325,6.281,5.743,5.582,6.434,7.806,5.708,4.276,5.168,4.419,5.207,5.192,3.417,4.044,6.677,6.436,7.664,34.419,5.64,5.001,9.105,6.414,4.093,6.315,6.072,5.393,7.174,6.325,7.197,5.973,5.682,5.326,6.653,6.498,7.234,6.283,5.559,4.709,6.066,6.233,6.225,6.488,4.617,5.889,7.291,4.189,4.308,4.339,4.026,5.308,5.915,5.687,4.311,5.651,7.829,6.694
8.064,NaN,7.25,6.008,6.284,6.286,8.276,7.267,6.757,5.99,4.317,5.231,8.96,6.726,6.47,8.655,6.45,9.205,6.334,11.487,5.519,6.742,6.517,5.243,6.378,6.49,5.89,5.87,6.618,7.92,5.835,4.858,5.536,4.479,5.344,5.37,3.474,4.353,6.711,6.73,8.169,34.958,5.698,5.12,10.564,6.728,5.545,6.502,6.208,6.187,7.605,6.561,7.522,6.057,5.897,5.469,6.74,6.579,7.459,6.425,5.628,4.915,6.493,6.412,6.371,6.586,4.905,6.212,7.555,4.635,5.192,4.921,4.275,5.545,5.952,5.922,4.449,6.108,8.122,6.786
