U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
413.764,NaN,355.87,336.565,351.384,327.459,389.415,341.364,319.444,294.807,384.355,303,471.883,404.953,354.524,377.461,389.796,388.046,328.726,380.686,311.222,326.817,304.016,318.764,283.377,392.477,334.573,316.832,336.202,344.548,409.6,359.078,356.323,243.029,246.528,262.905,275.931,251.915,347.861,338.758,417.657,NaN,305.756,315.017,476.268,374.709,337.034,375.724,324.421,334.368,416.274,325.214,430.652,292.143,293.269,302.232,373.744,367.354,342.7,337.892,388.374,311.028,317.925,315.482,315.845,395.738,378.918,313.886,387.33,281.07,296.278,342.333,315.959,240.923,270.075,343.469,302.553,248.161,358.904,336.648
413.966,NaN,356.424,336.841,351.47,327.781,389.864,341.544,320.09,294.965,384.444,303.361,472.802,405.296,354.63,377.957,390.687,388.422,329.081,381.384,311.401,327.087,304.157,319.403,283.508,392.759,334.871,316.966,336.286,345.164,409.721,359.358,356.594,243.049,246.708,262.937,276.139,251.979,348.363,338.816,417.867,NaN,306.037,315.266,476.719,374.789,337.344,375.854,324.703,334.61,416.658,325.803,431.081,292.274,294.356,302.499,374.132,367.885,342.912,338.009,388.637,311.336,318.368,315.836,316.296,396.175,379.242,314.176,387.549,281.295,296.388,342.487,316.402,241.141,270.33,343.802,303.403,248.29,359.629,337.04
414.233,NaN,356.563,337.498,352.328,328.138,390.581,341.662,320.868,295.545,384.633,303.561,473.129,406.125,354.752,378.473,391.575,388.757,329.211,381.512,311.698,327.367,304.482,319.799,283.711,393.447,335.004,317.14,336.587,345.239,410.2,359.868,356.9,243.192,246.808,262.974,276.256,252.219,348.442,339.279,418.156,NaN,306.093,315.329,477.262,374.945,337.849,376.051,324.852,334.793,416.759,326.01,431.273,292.434,294.647,302.64,374.267,367.987,343.217,338.319,389.083,311.679,318.819,316.105,316.571,396.358,379.519,314.379,387.706,281.494,296.493,343.369,316.656,241.184,270.431,343.904,303.848,248.539,359.882,337.349
414.367,NaN,356.615,337.621,352.64,328.276,390.962,342.463,321.107,295.729,385.387,303.692,473.422,406.537,355.075,378.666,391.641,389.16,329.92,382.238,312.285,327.849,304.675,320.222,283.861,393.7,335.209,317.36,336.769,345.589,410.631,360.853,356.949,243.308,246.971,263.159,276.32,252.487,348.652,339.471,418.368,NaN,306.483,315.588,477.458,375.871,338.158,376.313,325.344,335.03,417.209,326.187,431.8,292.665,294.978,302.886,374.916,368.713,343.487,338.595,389.314,311.885,318.976,316.52,316.812,396.683,380.361,314.861,387.884,281.781,296.71,343.4,316.854,241.283,271.187,344.488,304.208,248.723,359.991,337.664
414.623,NaN,356.799,338.127,353.086,328.561,391.052,342.56,321.221,296.053,385.967,303.98,473.858,406.725,355.159,378.77,392.129,389.372,330.128,382.577,312.627,327.97,305.211,320.405,284.283,394.855,335.412,317.484,337.128,345.882,410.666,361.677,357.055,243.361,247.153,263.938,278.059,252.705,348.672,340.178,418.568,NaN,306.737,315.797,478.045,376.1,338.296,376.419,325.715,335.095,417.32,326.448,431.941,292.848,294.978,303.203,375.132,368.937,343.887,338.826,389.885,312.026,318.976,316.651,317.014,396.854,380.499,314.946,387.989,282.044,296.855,343.797,316.916,241.454,271.488,345.071,304.443,248.945,360.171,337.857
414.893,NaN,357.289,338.494,353.544,328.703,391.252,342.816,321.429,296.258,386.047,304.457,474.021,407.037,355.314,379.123,392.35,389.438,330.292,383.046,313.17,328.353,305.536,320.594,284.661,395.017,335.561,317.752,337.275,345.976,410.718,361.996,357.141,243.699,247.231,264.11,278.329,252.768,348.873,340.644,419.702,NaN,306.897,315.96,478.312,376.903,338.491,376.968,326.04,335.422,417.532,326.596,432.349,292.908,295.431,303.288,375.793,369.099,344.234,338.999,390.1,312.368,319.144,316.846,317.289,397.913,380.622,315.263,388.331,282.187,297.212,344.703,316.963,241.621,271.976,345.238,305.194,248.991,360.241,338.104
415.127,NaN,357.52,338.592,353.74,329.298,391.451,343.595,321.68,296.515,386.142,304.535,474.134,407.469,355.778,379.697,392.472,389.639,330.463,383.127,313.485,328.531,305.729,321.395,285.029,395.529,335.891,318.201,337.356,346.155,411.145,362.168,357.411,243.8,247.53,264.169,278.519,252.839,348.945,341.078,420.331,NaN,307.13,316.129,478.997,377.444,338.606,377.147,326.232,335.577,418.23,326.774,432.449,293.173,295.808,303.639,376.391,369.304,344.682,339.225,390.267,312.745,319.348,317.003,317.543,398.38,380.836,315.367,388.533,282.405,297.501,344.915,317.206,241.972,271.976,345.392,305.565,249.112,360.501,338.345
415.535,NaN,357.6,338.711,353.961,329.476,391.638,344.057,321.808,296.764,386.26,305.267,474.37,407.579,356.446,379.934,393.203,389.895,331.157,384.09,313.796,329.041,305.982,321.481,285.192,395.907,336.18,318.385,337.7,346.71,411.409,362.946,358.401,243.875,247.945,264.411,278.666,253.021,349.261,341.141,420.607,NaN,307.574,316.359,479.678,377.64,338.908,377.206,326.796,335.791,418.96,326.962,432.886,293.39,296.548,303.728,376.927,369.559,345.253,339.487,390.357,312.954,319.504,317.127,317.945,398.751,381.091,315.843,389.024,282.613,297.898,345.091,317.302,242.296,272.126,346.01,305.638,249.665,361.06,338.497
415.848,NaN,357.776,338.973,354.121,329.548,391.886,344.23,322.173,296.874,386.442,305.372,474.635,407.816,356.609,380.111,393.367,390.255,331.641,384.236,313.951,329.404,306.061,322.044,285.369,396.032,336.45,318.656,337.862,346.921,411.905,363.027,358.695,243.897,248.018,264.468,278.892,253.518,349.291,341.314,421.483,NaN,308.061,316.496,479.798,377.797,339.034,377.736,326.905,335.851,419.086,327.265,433.897,293.891,296.802,303.946,377.133,369.851,345.385,339.705,390.567,313.091,319.69,317.28,318.424,398.944,381.298,316.093,389.278,282.702,298.286,345.127,317.41,242.361,272.279,347.222,305.883,249.908,361.309,338.557
416.066,NaN,358.294,339.12,354.512,329.675,392.07,344.445,322.398,297.026,386.73,305.59,474.853,408.105,357.019,380.348,394.508,390.472,332.014,384.619,314.264,329.53,306.338,322.205,285.922,396.133,336.628,319.023,338.111,347,411.945,363.497,358.748,243.976,248.127,264.616,279.01,253.857,349.592,341.736,421.705,NaN,308.325,316.824,480.028,378.059,339.499,378.639,327.055,336.184,419.475,327.421,434.068,294.032,296.931,304.223,377.257,370.387,345.679,340.128,390.872,313.338,319.853,317.402,318.646,399.073,381.441,316.488,389.667,282.77,299.272,345.177,317.447,242.879,272.4,348.378,306.207,250.302,361.553,338.657
416.309,NaN,358.417,339.302,354.928,329.97,392.369,344.631,322.573,297.484,386.92,305.855,475.242,408.525,357.409,380.526,395.446,390.637,332.53,385.059,314.387,329.707,307.001,322.639,286.049,396.365,336.771,319.417,338.433,347.276,412.382,363.54,358.802,244.293,248.927,264.699,279.514,253.954,349.697,341.984,423.41,NaN,309.047,317.347,480.201,378.185,339.879,378.964,327.475,336.45,419.718,327.753,434.25,294.215,297.34,304.442,377.433,370.617,345.896,340.217,391.536,313.5,319.964,317.841,318.803,399.182,381.704,316.604,389.826,283.225,299.644,345.421,317.556,243.283,272.742,348.952,306.664,250.385,361.999,339.516
416.731,NaN,358.832,339.539,355.405,330.213,392.514,344.739,322.748,297.915,387.253,306.116,475.471,409.914,357.572,380.63,395.71,390.759,332.706,385.13,314.616,330.361,307.1,323.045,286.151,396.526,336.868,319.507,338.606,347.857,412.614,363.998,358.95,244.384,249.023,264.79,280.22,254.193,349.991,342.14,423.545,NaN,309.154,317.456,480.366,378.622,340.126,379.228,327.854,336.827,419.946,328.164,434.526,294.466,297.494,304.662,377.534,370.699,346.181,340.453,391.724,313.726,320.161,318.224,319.09,399.523,381.899,316.689,390.498,283.33,299.785,345.539,317.703,243.459,273.243,349.27,306.88,250.463,362.05,339.588
417.03,NaN,359.037,339.832,355.767,330.482,393.32,345.696,323.039,298.205,387.928,306.241,475.937,410.436,357.71,380.833,396.182,391.225,332.944,385.559,314.893,331.12,307.705,323.232,286.321,396.81,337.015,319.772,338.871,348.115,413.049,364.242,359.276,244.527,249.232,265.066,280.339,254.248,349.991,342.16,424.26,NaN,309.462,317.713,481.307,378.709,340.383,379.4,328.171,337.116,420.103,328.665,434.671,294.786,297.616,304.933,377.61,371.006,346.427,340.552,391.912,313.926,320.258,318.628,319.448,400.203,382.136,316.917,390.801,283.449,300.241,345.837,318.175,243.955,273.364,349.315,307.014,250.827,362.07,339.959
417.218,NaN,359.167,339.897,356.123,330.761,393.417,345.773,323.265,298.434,388.044,306.459,476.275,410.656,358.132,380.912,396.325,391.53,333.234,386.124,315.494,331.313,308.275,323.628,286.408,397.073,337.18,319.858,339.057,348.218,413.177,364.358,360.121,244.606,249.334,265.187,280.584,254.714,350.819,342.982,424.392,NaN,309.624,317.801,481.829,379.107,340.463,379.674,328.367,337.332,420.389,329.168,434.753,295.052,297.85,305.095,377.962,371.393,346.599,340.659,392.382,314.097,320.519,318.887,319.55,400.676,382.848,317.082,391.126,283.525,301.246,346.56,318.437,244.11,273.447,349.431,307.135,250.958,362.12,340.075
417.273,NaN,360.293,340.027,356.415,331.152,393.522,346.111,323.458,298.555,388.206,306.545,476.431,411.137,358.239,381.502,396.653,391.687,333.491,386.272,315.564,331.68,308.608,323.801,286.749,397.219,337.521,319.994,339.412,348.628,413.9,364.444,360.16,244.813,249.548,265.324,280.809,254.742,351.462,343.726,425.419,NaN,309.767,317.971,481.918,380.031,340.723,380.207,328.663,337.889,420.534,329.296,434.84,295.268,298.337,305.236,378.08,371.865,346.775,340.953,392.645,314.334,320.614,319.272,319.729,400.919,383.132,317.307,391.422,283.79,301.465,346.785,318.842,244.23,273.624,350.114,307.744,251.005,362.226,341.064
417.55,NaN,360.522,340.497,356.53,331.247,393.582,346.517,323.97,298.729,388.359,306.777,476.603,411.821,358.428,381.949,397.071,392.019,334.022,387.02,316.347,332.283,308.779,323.99,287.184,397.545,337.609,320.084,339.762,348.934,414.404,364.648,360.186,245.621,249.587,265.613,281.08,254.829,351.594,343.978,425.571,NaN,310.052,318.084,482.254,380.336,341.358,380.502,328.866,338.074,421.325,329.604,435.207,295.489,298.543,305.455,378.373,372.265,347.038,341.151,393.301,314.953,320.968,319.769,319.907,401.297,383.308,317.421,391.547,283.866,302.069,346.812,318.998,244.873,274.084,350.23,307.877,251.116,362.458,341.228
417.815,NaN,360.625,340.941,356.708,331.353,394.175,347.2,324.144,299.076,388.501,306.919,476.889,412.237,358.613,382.661,397.885,392.362,334.295,387.24,316.504,332.676,308.998,323.99,287.358,397.784,338.049,320.494,339.994,349.824,416.242,364.69,360.275,245.678,249.651,266.375,281.277,255.317,351.667,344.052,426.04,NaN,310.188,318.878,482.526,380.495,341.498,380.618,329.431,338.204,421.445,329.786,435.371,295.566,298.723,305.656,378.667,372.53,347.322,341.345,393.481,315.214,321.262,319.914,320.031,401.422,383.769,317.605,391.852,284.325,302.106,347.934,319.183,245.044,275.516,350.295,308.066,251.215,362.528,341.364
418.193,NaN,360.8,341.116,357.475,331.554,394.384,347.899,324.644,299.343,388.574,307.434,477.178,412.569,358.762,383.181,398.281,392.717,334.657,387.483,316.656,333.157,309.276,324.16,287.542,398.562,338.354,320.633,340.289,350.082,416.773,365.179,360.799,246.079,250.081,266.399,281.454,255.44,351.728,344.366,426.263,NaN,310.607,319.272,482.96,380.632,341.927,380.895,329.567,338.579,422.358,329.914,435.527,295.726,299.029,305.89,379.027,372.759,347.744,341.531,393.874,315.321,321.394,320.171,320.133,401.577,383.949,317.693,392.207,284.773,302.15,348.228,319.216,245.409,276.048,350.457,308.174,251.292,362.593,341.495
418.382,NaN,361.458,341.25,357.882,331.714,394.719,348.229,324.731,299.527,388.752,307.611,477.747,412.751,359.054,383.82,398.769,393.305,334.744,387.769,316.874,333.397,309.548,324.507,287.84,398.832,338.57,320.839,340.527,350.538,417.371,365.273,360.839,246.398,250.123,266.791,281.542,255.657,352.009,344.618,426.514,NaN,310.823,319.571,483.306,380.822,342.12,381.161,329.866,338.695,422.67,330.376,435.612,295.95,299.188,305.997,379.291,372.892,348.499,341.75,394.391,315.455,322.135,320.339,320.589,401.778,384.322,317.949,392.593,284.932,302.202,348.436,319.613,245.582,276.196,350.646,308.416,251.437,362.884,341.553
418.642,NaN,361.631,341.388,358.026,331.936,395.16,348.913,324.89,299.808,388.943,307.868,477.858,413.21,359.141,384.435,399.409,393.573,335.251,388.085,317.059,333.524,309.707,324.64,288.115,399.132,339.119,321.016,340.67,350.857,417.775,365.747,360.988,246.576,250.244,266.889,281.573,256.259,352.307,344.764,427.215,NaN,311.004,319.758,483.992,380.932,342.492,381.818,330.071,338.81,422.981,330.878,436.154,296.068,299.289,306.137,379.371,373.156,348.966,341.895,395.018,315.665,322.449,320.58,320.809,401.946,384.839,318.088,392.933,285.045,302.325,348.72,320.097,245.89,276.679,350.855,308.471,251.47,362.942,341.754
419.708,NaN,362.34,342.008,358.393,332.037,395.519,348.98,325.253,299.926,389.375,308.475,478.625,413.458,359.391,384.524,399.631,393.709,335.419,388.263,317.147,334.083,309.991,324.867,288.259,399.693,339.577,321.116,340.781,351.099,418.473,366.013,361.144,246.693,250.529,267.151,281.625,256.319,352.946,344.926,427.313,NaN,311.191,320.059,484.096,381.838,342.683,381.935,330.321,339.019,424.032,331.509,436.22,296.337,299.662,306.486,379.745,373.297,349.124,342.193,395.377,316.064,322.61,320.717,321.071,402.24,384.904,318.417,393.243,285.53,302.371,349.053,320.438,246.316,276.774,351.016,308.658,251.557,363.097,342.354
420.132,NaN,362.514,342.155,358.661,332.192,396.219,350.032,325.513,300.13,389.579,308.718,479.676,413.895,359.818,385.375,400.324,394.122,335.56,388.553,317.238,334.206,309.991,325.051,288.361,400.121,339.786,321.256,341.001,351.222,418.662,366.208,361.741,246.75,250.59,267.39,281.691,256.469,353.012,344.962,427.79,NaN,311.399,320.57,484.72,382.035,342.82,382.619,330.474,339.377,424.913,331.757,436.87,297.112,300.065,307.465,379.964,373.799,349.436,342.297,395.647,316.173,322.866,320.963,321.287,402.311,385.053,318.589,393.314,285.585,302.396,349.28,320.703,246.46,276.804,351.162,309.388,251.837,363.178,342.836
420.491,NaN,362.59,342.249,358.866,332.347,396.471,350.239,325.777,300.903,389.695,308.917,480.282,414.272,360.227,385.472,400.666,394.437,335.785,388.972,317.353,334.559,310.417,325.114,288.694,400.308,339.972,321.41,341.412,351.349,420.116,366.547,362.341,246.845,250.783,267.456,281.78,256.648,353.518,345.282,427.91,NaN,312.373,320.861,485.287,382.965,343.084,383.049,330.622,339.621,425.058,333.072,437.083,297.262,300.122,307.572,380.293,374.272,349.539,342.495,396.31,316.27,323.316,321.117,321.414,402.975,385.213,318.692,393.436,285.685,302.629,349.554,320.791,246.549,276.974,351.254,309.774,251.893,363.483,343.422
420.865,NaN,362.921,342.676,358.973,332.69,397.404,350.435,326.412,301.115,389.916,309.282,480.473,414.667,360.795,385.555,400.916,395.141,335.875,389.294,317.556,335.164,310.822,325.875,288.85,400.695,340.174,321.554,342.204,351.625,420.161,366.607,362.849,246.877,251.089,267.559,281.919,256.821,353.554,345.37,428.594,NaN,312.765,322.094,486.114,383.204,343.304,383.61,330.954,339.884,425.336,333.54,437.685,297.39,300.594,307.652,380.634,374.421,350.008,342.651,396.438,316.31,323.467,321.312,321.921,403.184,386.049,318.831,393.632,285.889,302.948,350.111,321.413,246.76,277.196,351.508,310.019,251.95,363.888,343.578
421.148,NaN,363.134,342.78,359.371,332.782,398.306,350.563,326.711,301.392,390.206,309.453,480.882,414.767,361.133,385.7,401.093,395.349,335.96,389.987,317.811,335.274,311,326.243,288.991,400.9,340.531,321.804,342.452,351.85,420.679,366.794,363.406,247.183,251.314,267.774,282.035,256.929,353.646,345.708,428.765,NaN,312.952,322.565,486.622,383.552,343.844,383.806,331.66,340.313,425.539,333.951,438.023,297.532,300.883,307.807,381.784,374.742,350.213,343.13,396.664,316.64,323.833,321.621,322.159,403.377,386.207,319.163,393.783,286.192,303.216,350.751,321.689,246.992,277.453,351.763,310.075,252.487,364.215,343.83
421.573,NaN,363.281,343.075,359.518,332.887,398.992,350.975,326.912,301.47,390.594,309.638,481.312,415.406,361.445,385.77,401.699,395.729,336.417,390.65,318.259,335.549,311.267,326.463,288.991,401.077,341.015,322.113,342.839,352.454,420.855,367.036,365.693,247.317,251.407,267.858,282.391,257.593,353.719,346.291,429.363,NaN,313.183,322.74,486.958,383.993,344.195,383.972,331.893,340.491,425.716,334.269,438.227,297.785,301.691,308.279,382.223,374.921,350.548,343.597,397.304,316.804,324.145,321.826,322.521,403.923,386.609,319.293,394.176,286.412,303.65,351.561,321.721,247.104,277.69,351.823,310.976,253.385,364.566,343.972
421.851,NaN,364.12,343.222,359.772,332.981,398.992,351.324,327.073,301.703,390.807,309.87,481.724,415.967,361.56,386.134,401.796,396.096,336.577,390.834,318.492,335.866,311.573,327.117,289.086,401.632,341.213,322.236,343.369,352.676,420.876,367.287,366.444,247.396,251.478,268.005,282.747,257.671,354.13,347.064,429.926,NaN,313.287,322.895,487.966,384.123,344.49,384.224,332.038,340.642,426.047,334.591,438.452,297.842,302.132,308.451,382.514,375.365,350.68,343.657,397.934,317.256,324.217,321.914,322.877,404.463,387.111,319.566,394.648,286.791,303.749,352.202,321.925,247.226,277.881,352.339,310.976,253.582,364.612,344.604
422.15,NaN,364.233,343.848,360.108,333.166,399.126,351.467,327.447,301.794,390.96,310.238,481.951,416.162,362.335,386.254,402.301,396.262,336.929,390.974,318.725,336.025,311.801,327.442,289.268,401.882,342.484,322.375,343.537,352.75,421.243,367.482,366.565,247.653,251.523,268.142,282.873,257.83,354.84,347.385,430.344,NaN,313.593,323.402,488.145,384.421,344.725,384.632,332.277,341.086,426.162,334.829,438.589,298.045,302.277,308.923,382.931,375.54,350.983,344.392,398.38,317.621,324.415,322.105,322.998,405.207,387.513,320.067,395.042,287.24,304.595,352.792,322.001,247.615,278.254,352.493,311.273,253.713,365.246,344.721
422.251,NaN,364.526,343.98,360.207,333.223,400.124,351.572,327.538,301.897,391.168,310.367,482.378,416.281,362.505,386.615,403.157,396.519,337.132,391.459,319.269,336.295,312.148,327.987,289.406,402.11,342.662,322.801,343.809,352.952,421.363,367.792,367.105,247.715,251.615,268.204,283.267,257.876,355.172,347.961,430.69,NaN,313.769,323.647,488.337,385.364,344.887,384.763,332.456,341.343,426.391,334.93,438.711,298.204,302.542,309.174,383.105,376.075,351.19,344.479,398.72,317.879,324.687,322.329,323.604,405.618,387.813,320.149,395.434,287.451,305.106,352.852,322.827,248.201,279.164,352.654,311.401,253.805,365.682,344.753
423.626,NaN,364.628,344.242,360.284,333.896,400.663,352.378,327.836,302.101,391.473,310.557,484.087,416.559,362.757,386.848,403.465,396.58,337.428,391.726,319.702,336.729,312.338,328.213,289.537,402.425,342.821,322.91,344.018,353.235,422.396,368.622,367.144,248.128,252.071,268.924,284.163,258.274,356.067,348.242,431.399,NaN,313.928,323.942,488.669,386.131,345.021,384.94,332.652,341.9,426.544,335.11,439.387,298.498,302.655,309.326,383.245,376.308,351.438,344.585,398.947,318.26,324.895,322.972,323.823,405.757,388.225,320.312,395.797,287.857,305.54,352.905,323.981,248.26,279.209,352.913,311.575,253.921,366.319,345.351
424.455,NaN,364.759,344.568,360.86,334.564,400.869,352.867,328.043,302.26,391.536,310.965,484.368,416.768,363.128,386.987,403.821,396.751,337.796,392.333,319.843,336.859,312.432,328.456,289.621,402.569,343.172,323.195,344.101,353.463,422.653,368.846,367.159,248.251,252.182,269,284.316,258.324,356.227,348.317,431.668,NaN,314.053,324.057,489.724,386.422,345.323,385.327,333.084,342.188,426.701,335.329,439.566,298.687,302.801,309.769,384.124,376.474,351.923,344.802,399.115,318.423,325.163,323.14,323.976,406.474,388.589,320.584,395.997,288.171,305.57,354.055,325.093,248.557,279.776,352.978,311.828,253.96,366.413,345.871
425.636,NaN,365.418,344.75,360.954,334.664,401.061,352.977,328.227,302.429,391.679,311.106,484.84,417.106,363.835,387.257,404.176,396.928,338.055,392.521,319.967,336.989,312.811,328.715,289.801,403.177,343.587,323.32,344.222,354.685,423.286,369.026,367.411,248.456,252.473,269.339,284.899,258.551,356.42,348.521,431.795,NaN,314.461,324.198,490.734,386.6,345.975,385.501,333.54,342.321,427.262,335.939,440.065,299.279,302.902,309.983,384.344,376.808,352.064,345.02,399.689,318.66,325.85,324.123,323.976,407.384,388.944,321.104,396.445,288.552,305.607,354.549,326.212,248.605,279.961,352.978,311.979,254.215,367.452,346.054
425.97,NaN,365.594,344.866,361.287,335.025,401.352,353.24,328.553,302.652,391.881,311.36,484.982,417.32,364.67,387.571,404.296,397.092,338.361,392.7,320.121,337.513,313.065,329.017,289.952,403.562,343.967,323.806,344.422,354.894,424.034,369.078,367.501,248.583,252.645,269.413,285.01,258.846,356.762,348.576,432.062,NaN,314.766,324.757,490.955,386.958,346.191,385.779,333.628,342.667,427.824,336.106,440.271,299.465,302.994,310.315,384.96,376.898,352.81,346.033,399.924,318.992,326.031,324.489,324.169,407.751,389.318,321.415,396.647,288.847,306.167,355.067,326.78,248.65,281.379,353.479,311.979,254.882,367.763,346.33
426.13,NaN,366.204,344.966,361.497,335.217,401.758,353.437,328.7,302.956,392.793,311.591,485.167,419.588,364.783,388.312,404.793,397.571,338.581,393.064,320.381,338.338,313.624,329.511,290.067,403.817,344.222,323.935,344.588,355.116,424.434,369.288,367.652,248.622,252.73,269.602,285.403,258.99,357.481,348.686,432.246,NaN,314.865,325.328,491.037,388.114,346.531,386.04,334.015,342.765,427.988,336.426,440.379,299.587,303.444,310.48,385.504,377.059,353.019,346.149,400.059,319.137,326.225,324.687,324.548,408.217,389.395,321.612,396.995,289.059,306.203,356.57,326.975,249.27,281.695,353.578,312.383,254.934,368.626,346.938
426.278,NaN,366.33,345.14,361.869,335.376,402.396,353.613,328.797,303.327,393.167,311.726,486.045,419.791,364.986,388.466,405.145,397.695,338.854,393.204,320.612,338.9,313.826,329.666,290.215,404.505,344.731,324.264,345.044,355.76,424.819,369.576,367.905,248.781,253.318,269.676,285.544,258.99,357.508,349.372,432.432,NaN,315.023,325.523,491.804,388.247,346.933,386.562,334.201,342.954,428.301,336.898,440.815,299.737,303.619,310.595,385.766,377.219,353.133,347.157,400.13,319.227,326.32,324.926,325.124,408.435,389.547,321.838,397.344,289.202,306.831,356.699,327.143,249.547,282.027,354.275,313.292,255.006,368.765,347.012
426.446,NaN,366.473,345.779,362.002,335.546,403.348,353.861,329.323,303.978,393.397,312.06,486.578,419.926,365.407,388.742,405.377,398.583,338.966,393.564,320.781,339.086,314.287,329.787,290.343,405.129,344.92,324.497,346.411,355.88,425.074,369.721,368.051,248.871,253.604,270.212,285.682,259.149,357.748,349.392,432.551,NaN,315.147,325.949,492.405,388.368,347.073,386.708,334.407,343.064,429.092,337.695,440.924,299.947,304.066,310.824,386.186,377.438,353.563,347.593,401.691,319.307,326.702,325.242,325.282,408.651,390.008,322.39,397.55,289.462,306.964,356.811,327.424,250.265,282.075,354.323,313.932,255.198,369.287,347.364
426.635,NaN,366.661,345.924,362.178,336.161,403.593,354.64,329.667,304.163,393.675,312.271,486.841,419.983,365.714,389.06,405.612,398.759,339.274,393.895,321.35,339.308,314.748,330.019,290.457,405.623,345.456,324.725,346.707,356.006,425.22,369.912,368.182,249.175,254.033,270.876,285.747,259.224,358.416,349.503,432.741,NaN,315.427,326.223,492.709,388.851,347.257,386.972,334.647,343.316,429.204,338.285,441.341,300.174,304.353,311.207,386.43,377.653,353.65,347.767,401.869,319.786,327.488,325.805,325.499,408.973,390.271,322.866,397.755,289.599,306.992,356.857,327.761,250.467,282.624,354.442,314.275,255.504,369.413,347.587
426.701,NaN,366.844,346.401,363.164,336.34,403.749,355.285,329.809,304.592,394.218,312.444,487.132,420.191,366.177,389.215,405.893,398.999,339.724,394.522,321.61,339.935,315.001,330.193,290.541,405.797,345.595,325.122,346.912,356.256,425.557,370.414,368.472,249.251,254.242,270.96,285.922,259.321,358.853,349.58,432.839,NaN,315.828,326.57,493.643,388.923,347.453,387.248,334.79,343.718,429.347,338.488,441.76,300.315,304.547,311.466,386.554,377.731,353.925,348.011,402.056,320.074,327.66,326.177,325.81,409.832,390.423,322.994,397.918,289.736,307.141,356.92,327.832,251.203,282.729,354.506,314.341,255.667,369.603,347.615
426.918,NaN,367.263,346.535,363.303,336.446,403.998,355.702,330.008,304.931,395.655,312.618,487.342,420.269,366.482,389.959,406.08,399.694,339.891,394.671,321.828,340.165,315.178,330.357,290.806,405.886,345.69,325.285,347.147,356.579,425.73,370.797,368.531,249.324,254.324,271.098,286.465,260.008,358.986,349.87,433.055,NaN,316.17,326.735,493.741,389.332,347.61,387.346,335.174,343.892,429.689,338.704,441.945,300.47,304.702,311.519,387.014,378.096,353.983,348.295,402.78,320.156,327.847,327.196,326.015,410.282,390.762,323.387,398.045,289.956,307.871,357.136,328.338,251.605,283.233,354.524,314.774,255.719,369.684,347.865
427.939,NaN,367.862,346.615,364.019,336.837,404.517,356.021,330.092,305.121,395.707,312.857,487.515,420.782,366.634,390.196,406.329,400.325,340.187,394.757,322.006,340.352,315.275,330.607,291.041,406.005,346.159,325.517,347.274,356.79,426.592,371.254,368.724,249.673,254.372,271.257,286.805,260.168,359.513,350.681,433.307,NaN,316.309,327.152,493.975,390.123,347.8,387.557,335.381,344.148,430.615,339.1,442.169,300.577,305.082,311.646,387.126,378.354,354.327,348.666,402.865,320.432,327.99,327.3,326.373,411.615,391.346,323.516,398.202,290.409,307.906,357.156,328.792,251.69,283.41,354.615,314.829,255.755,369.888,347.926
428.112,NaN,368.747,346.806,364.135,337.185,405.291,356.452,330.181,305.542,396.118,313.055,487.696,421.184,367.456,390.606,406.462,400.603,340.398,395.136,322.221,340.649,315.381,330.965,291.379,406.121,346.344,325.683,348.281,356.969,426.731,371.991,368.756,249.766,254.541,271.302,287.248,260.239,360.074,350.956,433.435,NaN,316.646,327.461,494.503,390.307,348.286,387.993,335.848,344.231,430.72,339.614,442.357,300.802,305.754,311.819,387.429,378.53,354.561,348.994,403.071,320.641,328.221,327.524,326.546,412.237,391.867,323.743,398.722,290.889,308.083,357.445,328.815,251.756,283.576,354.898,315.447,255.92,370.942,348.086
428.219,NaN,368.874,347.122,364.295,337.376,405.678,357.212,330.311,305.848,396.284,313.291,488.244,421.831,367.775,390.759,406.874,400.925,340.68,395.534,322.624,341.171,315.634,331.148,291.648,406.315,348.058,325.761,348.464,357.557,426.86,371.991,368.953,249.816,255.23,271.377,287.383,260.298,360.199,351.627,433.674,NaN,316.837,327.64,495.432,390.847,348.45,388.175,336.804,344.345,430.789,339.836,442.971,300.894,306.33,312.095,387.692,378.635,355.09,349.071,403.335,320.913,328.361,327.739,326.803,412.331,392.174,323.819,399.38,291.343,308.269,357.682,329.379,251.887,283.669,354.94,316.128,255.989,371.485,348.228
428.438,NaN,369.004,347.489,364.6,337.743,406.102,357.398,330.474,305.924,396.408,313.478,488.829,422.634,367.9,391.465,407.105,401.065,340.951,395.808,323.018,341.34,316.073,331.327,291.873,406.517,348.632,326.179,348.625,357.705,428.019,373.554,369.001,249.87,255.427,271.514,287.489,260.747,360.894,352.174,434.003,NaN,316.998,327.761,496.021,391.448,349.622,389.095,336.955,344.793,431.176,340.055,443.48,301.183,306.738,312.289,388.335,379.124,355.269,349.214,403.518,321.074,328.49,327.985,327.214,413.422,392.444,324.029,400.011,291.609,308.377,357.715,329.953,252.067,283.916,355.36,316.735,256.417,371.697,348.663
