U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
109.977,NaN,620.08,682.409,90.717,264.208,98.019,92.167,85.346,62.105,NaN,61.556,137.917,102.511,108.908,109.73,117.156,100.233,84.74,94.508,85.517,94.166,69.505,76.927,244.785,94.895,105.354,89.894,99.76,543.902,129.292,88.037,75.597,76.758,49.423,50.672,67.877,63.683,87.452,82.761,113.484,635.056,72.262,83.639,139.617,273.356,77.717,101.426,88.47,88.808,106.138,74.779,NaN,65.984,67.504,84.998,90.151,641.782,83.983,86.455,93.788,66.281,356.585,82.872,96.474,102.453,103.272,64.251,NaN,180.972,78.425,82.862,80.817,58.745,59.23,90.297,67.139,56.489,81.795,88.258
110.318,NaN,622.846,683.795,90.883,267.779,98.661,92.347,85.722,62.267,NaN,61.631,139.106,102.882,109.621,110.046,117.222,100.587,84.837,95.015,85.893,94.502,69.639,77.055,245.096,95.039,105.447,89.989,100.091,544.167,129.42,88.438,75.986,76.949,49.572,50.698,67.928,63.741,87.508,83.634,113.982,636.072,72.41,83.986,140.028,274.758,77.831,102.223,88.74,89.586,106.355,74.994,NaN,66.267,67.596,85.18,90.252,661.477,84.197,86.784,93.962,66.805,357.391,83.063,96.78,102.703,103.484,64.365,NaN,181.374,78.481,83.113,80.89,59.009,59.302,90.598,67.215,56.669,82.068,88.316
110.737,NaN,625.854,684.646,91.164,268.005,98.743,92.482,86.226,62.551,NaN,61.759,139.366,103.233,109.851,110.138,117.832,100.689,84.989,95.391,85.963,94.878,69.73,77.173,246.051,95.346,105.576,90.257,100.535,545.286,129.549,88.83,76.402,77.193,49.76,50.798,68.313,63.808,87.866,83.846,114.187,636.461,72.58,84.332,140.769,274.96,77.95,102.626,89.128,89.765,106.475,75.364,NaN,66.355,67.755,85.444,90.782,662.216,84.323,86.964,94.32,67.195,357.807,83.541,97.202,103.02,103.538,64.701,NaN,181.566,78.633,83.471,81.041,59.233,60.02,90.815,67.299,56.909,82.445,88.477
110.817,NaN,626.404,686.166,91.465,268.959,98.977,93.072,86.543,62.641,NaN,61.938,140.025,103.315,110.238,110.798,118.012,100.847,85.194,95.698,86.173,95.028,70.132,77.343,246.805,95.852,105.694,90.423,100.68,548.627,129.627,89.167,76.66,77.311,50.094,50.87,68.728,63.886,87.941,84.032,115.085,639.144,73.12,84.965,140.88,275.602,78.017,102.757,89.298,90.355,106.867,75.464,NaN,66.653,67.929,85.59,91.081,662.602,84.728,87.344,94.512,67.379,358.987,83.766,97.315,103.685,103.913,64.867,NaN,182.228,79.121,83.582,81.683,59.287,60.15,90.969,67.463,57.031,82.747,88.499
110.913,NaN,628.385,688.159,91.651,269.242,99.182,93.161,86.718,62.809,NaN,62.108,140.527,103.682,110.854,111.23,118.17,100.915,85.559,95.889,86.371,95.285,70.261,77.509,247.589,96.201,105.867,91.123,100.813,551.767,129.894,89.241,76.715,77.671,50.228,51.217,68.773,64.07,88.258,84.152,115.175,643.892,73.457,85.316,141.218,276.692,78.227,103.101,89.662,90.711,107.287,75.576,NaN,66.757,67.994,85.924,91.226,666.65,85.088,87.673,94.888,67.551,359.469,84.195,97.839,103.895,104.112,64.985,NaN,182.77,79.265,83.733,81.781,59.532,60.206,91.53,67.645,57.172,82.763,89.073
111.042,NaN,628.674,691.862,92.176,269.476,99.372,93.324,87.149,62.911,NaN,62.262,140.837,103.769,111.137,111.917,119.127,101.032,85.859,96.132,86.708,95.741,70.755,77.684,248.501,96.648,106.132,91.74,101.297,552.562,130.633,89.321,76.763,77.722,50.335,51.378,68.815,64.125,88.661,84.224,115.723,647.45,73.552,85.622,141.517,277.985,78.572,103.9,90.005,90.903,107.468,76.06,NaN,66.975,68.302,86.082,91.455,667.785,85.428,88.07,95.026,67.799,360.49,84.709,97.948,104.193,104.268,65.101,NaN,182.967,79.686,83.839,81.94,59.814,60.481,91.944,68.003,57.351,82.842,89.191
111.158,NaN,628.762,692.061,92.324,270.116,99.778,93.672,87.434,63.232,NaN,62.353,141.104,104.219,111.372,112.759,119.304,101.303,86.261,96.494,86.831,95.878,70.899,77.909,249.43,97.052,106.468,91.904,101.528,553.92,131.847,89.453,77.002,77.874,50.57,51.423,68.989,64.223,88.986,84.501,115.803,647.528,73.741,85.828,142.002,278.542,78.753,104.371,90.2,91.11,107.611,76.181,NaN,67.244,68.528,86.438,91.669,669.836,85.527,88.744,95.688,68.028,362.691,85.098,98.309,104.416,104.403,65.289,NaN,183.423,79.796,83.866,82.079,59.99,60.629,92.885,68.043,57.712,82.937,89.432
111.449,NaN,629.567,692.187,92.528,270.863,100.423,93.737,87.65,63.308,NaN,62.513,141.35,104.693,111.558,113.045,119.751,101.528,86.376,96.81,87.279,96.015,71.211,78.129,250.588,97.475,106.677,92.054,101.796,554.244,132.285,90.073,77.081,77.931,50.685,51.495,69.491,64.267,89.016,84.977,115.947,650.664,73.972,85.929,142.42,278.747,78.969,104.424,90.32,91.655,107.882,76.358,NaN,67.387,69.202,86.578,91.789,672.318,85.648,89.544,95.941,68.175,365.266,85.298,98.507,104.607,104.56,65.447,NaN,183.719,80.035,84.16,82.116,60.394,60.676,92.928,68.416,57.716,83.079,89.534
111.505,NaN,639.015,693.545,92.693,271.625,100.853,94.181,88.521,63.564,NaN,62.808,141.707,105.137,112.111,113.259,120.168,101.675,86.698,96.943,87.954,96.102,71.386,78.244,252.147,97.896,106.776,92.314,102.081,554.926,133.014,90.124,77.247,78.408,50.757,51.532,69.683,64.286,89.075,85.042,116.107,651.023,74.176,86.449,142.886,279.736,79.084,104.619,90.465,91.736,108.278,76.463,NaN,67.751,69.342,87.335,91.864,672.83,85.913,89.861,96.429,68.746,366.759,85.528,98.865,104.791,104.978,65.553,NaN,184.133,80.521,84.353,82.16,60.448,60.784,93.755,68.65,57.784,83.245,89.564
111.925,NaN,639.374,694.61,92.978,272.468,101.212,94.494,89.056,63.88,NaN,63.1,141.884,105.589,113.154,113.64,120.28,101.792,86.903,97.205,88.066,96.216,71.46,78.369,252.797,98.293,106.855,92.517,102.202,555.364,133.179,91.01,77.483,78.766,50.865,52.029,69.88,64.344,89.355,85.359,116.715,652.872,74.37,87.18,143.02,280.127,79.226,104.961,90.594,92.196,108.731,76.664,NaN,67.83,69.452,87.616,92.141,673.269,86.06,90.135,96.665,68.869,367.445,86.148,98.934,105.138,104.978,65.633,NaN,184.634,80.588,84.464,82.39,60.761,60.925,94.084,68.863,57.864,83.338,89.927
112.702,NaN,640.627,696.824,93.231,272.897,101.369,94.671,89.21,63.94,NaN,63.216,142.184,106.229,113.371,113.815,120.528,102.123,87.049,97.483,88.347,96.844,71.855,78.458,254.079,98.894,107.499,92.855,102.34,561.026,133.392,91.291,77.833,78.858,50.965,52.225,70.102,64.599,89.62,86.323,116.898,653.509,74.653,87.775,143.882,281.387,79.423,105.299,90.726,92.397,109.185,76.708,NaN,68.061,69.606,87.775,92.385,674.605,86.203,90.246,96.732,69.208,367.889,86.469,99.874,105.506,105.215,65.773,NaN,186.327,81.07,84.968,82.455,60.852,61.121,94.37,68.992,58.022,84.821,89.99
113.291,NaN,641.76,697.948,93.288,273.42,101.642,94.854,89.63,64.22,NaN,63.312,142.614,106.505,113.459,114.049,120.902,102.326,87.266,98.026,88.743,96.959,72.018,78.582,254.386,99.079,107.737,93.031,102.429,562.796,133.656,91.319,78.243,79.052,51.229,52.507,70.555,64.726,89.706,86.365,116.931,654.039,74.96,87.974,144.047,282.51,79.726,105.518,91.192,92.852,110.026,76.938,NaN,68.192,69.748,87.888,92.522,677.271,86.319,90.775,96.972,69.46,370.643,86.582,99.937,105.704,105.861,65.835,NaN,186.517,81.128,85.225,82.501,61.38,61.319,94.498,69.117,58.132,85.044,90.65
113.769,NaN,643.063,700.302,93.673,274.008,102.488,95.178,90.207,64.583,NaN,63.555,142.756,106.852,113.639,114.624,121.259,102.436,88.071,98.339,88.936,97.234,72.232,78.925,254.836,99.297,107.909,93.211,102.822,563.837,133.827,91.406,79.166,79.349,51.362,52.61,70.627,64.929,90.182,86.382,117.06,654.299,75.193,88.296,144.146,282.752,79.836,105.784,91.467,93.152,110.12,77.075,NaN,68.532,69.952,88.15,93.22,677.697,86.448,91.02,97.086,69.764,370.953,86.721,100.259,106.315,106.098,66.109,NaN,187.054,81.173,85.423,83.517,61.463,61.527,94.627,69.436,58.188,85.162,90.724
113.892,NaN,644.447,705.126,93.729,274.354,102.63,95.296,90.752,64.775,NaN,63.723,143.117,107.11,114.031,114.703,121.502,102.628,88.227,98.428,89.088,97.311,72.575,79.251,255.37,99.349,107.982,93.321,103.025,565.366,133.891,91.466,79.215,79.494,51.671,52.785,70.683,64.987,90.229,86.431,117.378,656.017,75.404,88.861,144.26,283.533,80.19,106.142,91.615,93.68,110.354,77.226,NaN,68.823,70.195,88.28,93.458,685.249,86.686,91.207,97.219,69.992,372.214,86.965,100.367,106.503,106.584,66.232,NaN,187.307,81.475,85.594,84.761,61.561,61.552,94.881,69.851,58.34,85.535,91.119
