U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
0.132,1003.33,0.172,0.141,0.231,0.165,0.148,0.359,0.48,0.039,23.463,0.076,0.229,0.252,0,0.312,0.553,0.07,0.131,0.157,0.126,0.276,0.076,0.161,0.156,0.155,0.035,0.285,0.1,1.803,0.254,0.006,0.02,0.266,0.368,0.242,0.089,0.164,0.288,0.326,0.12,0.721,0.12,0.048,0.122,0.716,0.074,0.431,0.056,0.112,0.331,0.041,56.931,0.08,0.264,0.07,0.137,2.334,0.404,0.128,0.137,0.063,0.307,0.4,0.29,0.178,0.053,0.034,14.246,0.133,0.061,0,0.193,0.404,0.094,0.129,0.213,0.139,0.099,0.081
0.281,NaN,9.517,15.776,0.43,0.442,0.649,0.484,0.587,0.275,29.112,0.278,0.848,0.37,0.154,1.251,0.818,0.282,0.374,0.378,0.261,0.37,0.268,0.288,1.343,0.426,0.139,0.825,0.267,3.234,0.577,0.168,0.082,0.445,0.436,0.317,0.18,0.227,0.488,0.387,0.297,1.604,0.27,0.142,0.825,1.599,0.482,0.745,0.15,0.407,0.535,0.246,62.505,0.153,0.487,0.131,0.557,2.732,0.595,0.437,0.269,0.304,0.75,0.728,0.735,0.303,0.285,0.489,31.498,0.403,0.293,0.275,0.368,0.723,0.278,0.423,0.277,0.406,0.185,0.259
0.468,NaN,15.276,19.473,0.874,1.89,0.946,0.757,0.762,0.662,34.637,0.433,1.089,0.669,0.335,1.522,0.979,0.432,0.482,0.953,0.686,0.682,0.363,0.461,4.966,0.603,0.222,0.984,0.426,8.432,0.674,0.713,0.294,0.536,0.488,0.67,0.338,0.566,0.83,1.026,0.425,2.741,0.396,0.539,1.064,2.26,0.652,1.43,0.491,0.598,0.802,0.533,77.746,0.396,0.723,0.3,0.706,5.662,0.75,0.547,0.568,0.432,2.342,1.031,0.865,0.67,0.429,0.609,32.253,0.718,0.543,0.474,0.54,0.733,0.411,0.693,0.375,0.556,0.207,0.312
0.661,NaN,16.166,20.324,1.094,2.528,1.222,0.917,0.858,0.879,49.156,0.698,1.644,0.935,0.598,1.775,1.329,1.847,0.69,1.342,0.909,0.945,0.874,0.639,6.554,0.87,0.476,1.34,0.652,10.089,1.619,0.854,0.61,0.559,0.878,0.769,0.443,0.595,0.992,1.046,0.924,6.156,0.455,0.945,2.707,2.864,0.887,1.588,0.726,0.752,1.245,0.714,82.446,0.549,0.956,0.393,1.038,5.924,1.255,0.713,0.683,0.744,2.74,1.162,0.98,0.84,0.571,0.71,64.703,0.939,0.912,0.494,0.58,0.869,0.69,0.816,0.475,0.681,0.814,0.486
1.344,NaN,17.155,24.355,1.345,2.916,1.798,1.353,1.032,0.935,52.433,0.83,2.358,1.433,1.124,1.992,1.587,2.252,0.799,1.585,1.596,1.039,1.324,0.753,7.503,1.358,0.648,1.807,1.064,11.162,1.656,0.89,0.887,1.021,1.098,0.854,0.601,0.943,0.992,1.257,1.666,7.078,0.576,1.11,2.977,2.971,0.951,1.776,0.965,0.965,1.721,0.863,86.597,0.743,1.044,0.74,1.574,7.771,1.491,0.953,0.884,0.924,3.524,1.614,1.24,0.932,0.86,0.913,68.847,1.593,1.165,0.994,0.806,1.044,0.725,1.676,0.575,0.719,0.958,0.74
1.69,NaN,18.28,25.917,1.575,3.319,2.269,1.416,1.213,1.009,60.535,0.882,2.787,1.675,1.473,1.992,2.088,2.379,1.017,1.801,2.282,1.335,1.788,1.236,7.615,1.877,0.791,1.908,1.685,11.492,1.706,1.204,1.263,1.067,1.253,0.969,0.773,1.605,1.099,1.286,1.996,13.935,0.97,1.265,2.977,3.973,1.167,1.978,1.149,1.366,2.192,1.259,105.68,0.87,1.174,0.936,1.729,16.321,1.784,1.588,1.073,1.158,4.458,1.93,2.327,1.019,0.929,1.253,70.752,1.993,1.744,1.136,0.864,1.116,0.757,1.861,0.833,0.943,1.248,1.081
1.848,NaN,18.58,27.449,1.74,3.602,2.502,1.581,1.596,1.338,62.354,1.13,2.952,2.372,1.856,2.416,2.183,2.8,1.245,2.462,2.706,1.579,2.368,1.482,8.431,2.071,1.204,2.19,1.841,11.81,1.736,1.529,1.621,1.661,1.744,1.039,0.927,1.684,1.466,1.393,2.71,14.584,1.079,1.791,4.172,4.195,1.25,1.978,1.598,1.78,2.446,1.482,113.508,0.958,1.591,1.156,2.327,21.573,2.216,2.256,1.208,1.4,5.671,2.32,2.725,1.442,1.056,1.486,81.518,2.736,2.054,1.405,1.06,1.171,1.088,1.907,0.892,1.27,1.603,1.185
2.052,NaN,19.576,29.097,1.886,4.692,2.822,1.851,1.88,1.44,81.218,1.255,3.46,2.702,1.926,2.613,2.467,3.243,1.491,2.509,2.936,1.794,2.522,1.81,9.223,2.361,1.679,2.413,2.082,11.999,3.284,1.596,1.782,2.09,1.856,1.346,1.352,1.867,1.688,1.495,2.813,19.736,1.596,2.257,4.51,5.006,1.503,2.096,1.737,2.071,2.831,1.712,117.554,1.115,1.733,1.582,2.546,25.966,2.526,2.437,1.465,1.498,6.146,2.426,3.483,1.791,1.2,1.594,83.221,3.235,2.38,1.748,1.145,1.252,1.299,2.073,0.984,1.994,1.668,1.661
2.67,NaN,21.633,29.546,2.366,5.247,3.52,2.44,2.115,1.61,85.868,1.778,3.782,3.013,2.193,3.558,2.713,3.379,2.522,2.873,3.095,1.904,2.7,2.513,9.527,2.666,2.178,2.864,2.37,13.532,3.413,1.786,2.23,2.209,1.947,1.636,1.478,2.182,1.746,1.673,3.096,27.567,1.782,2.399,5.679,5.403,1.667,2.744,1.906,2.248,3.086,2.336,119.711,1.247,1.878,1.77,2.725,27.571,2.8,2.751,1.785,1.647,6.561,2.714,3.639,1.983,1.31,1.738,85.175,4.738,2.469,1.875,1.348,1.285,1.593,2.171,1.07,2.023,1.801,1.923
2.968,NaN,22.408,29.93,2.961,5.907,3.64,2.677,2.262,2.365,87.285,2.375,4.172,3.204,2.445,4.16,2.897,3.592,2.918,3.221,3.201,2.123,2.985,2.631,10.841,2.794,2.677,3.124,2.512,14.224,3.799,1.893,2.54,2.317,2.373,1.651,1.85,2.197,2.258,2.01,3.288,28.553,1.988,2.541,5.888,5.656,1.799,2.873,2.23,2.414,3.703,2.392,124.986,1.773,1.982,1.849,2.987,28.549,3.656,2.859,2.305,1.743,7.957,3.202,3.791,2.737,1.496,1.985,86.082,5.648,2.501,2.167,1.628,1.316,1.792,2.235,1.215,2.264,2,2.111
3.389,NaN,27.08,32.745,3.282,6.115,3.745,2.973,2.49,2.481,91.194,2.518,4.269,3.458,2.904,5.133,3.591,4.758,3.057,3.328,3.525,2.498,3.213,2.911,11.885,3.158,3.052,3.278,3.209,15.278,4.04,1.984,2.561,2.378,2.444,1.808,2.064,2.491,2.374,2.125,3.547,29.136,2.562,2.743,6.281,6.858,1.918,3.328,2.358,2.701,3.787,2.534,125.917,2.334,2.226,2.294,3.32,28.694,3.97,3.311,2.723,1.913,9.288,3.674,4.044,3.52,1.855,2.074,97.185,5.738,2.975,2.279,1.889,1.506,2.094,2.839,1.926,2.341,2.731,2.416
3.582,NaN,27.582,38.882,3.863,7.036,3.983,3.398,2.654,2.647,100.847,2.651,6.021,3.909,2.979,5.559,3.718,5,3.206,3.504,3.643,3.215,3.597,3.049,12.16,3.633,3.589,3.502,3.403,17.886,4.422,2.043,2.6,2.453,2.526,1.873,2.268,2.835,2.854,2.308,3.668,29.25,2.726,2.854,6.416,7.075,2.265,3.632,2.73,2.961,4.027,2.731,127.533,2.405,2.331,2.364,3.405,29.269,4.389,3.625,2.847,1.993,10.008,4.262,4.269,3.742,2.247,2.332,99.92,6.151,3.033,2.349,2.673,1.609,2.224,3.091,2.001,2.412,3.261,2.519
3.679,NaN,31.198,42.214,4.181,7.623,4.408,3.683,2.909,2.712,108.335,2.805,6.276,4.536,3.31,5.91,4.194,5.235,3.595,3.772,3.749,3.497,3.69,3.226,12.982,3.835,4.066,3.728,3.584,18.46,4.785,2.305,2.729,2.92,2.715,1.935,2.388,2.87,3.21,2.533,3.945,30.46,3.103,2.968,6.673,7.322,2.404,3.956,2.868,3.134,4.741,2.841,145.432,2.675,2.556,2.735,4.246,29.922,4.458,3.68,3.107,2.085,11.902,5.031,4.442,4.462,2.721,2.55,101.42,6.329,3.621,2.477,2.847,1.734,2.342,3.157,2.133,2.742,3.645,2.895
3.905,NaN,33.367,42.952,4.263,8.172,4.955,3.822,3.594,3.018,110.805,3.062,6.561,4.648,3.435,6.608,4.715,5.62,3.756,4.379,3.856,3.601,3.842,3.314,14.481,4.077,4.44,4.233,4.251,26.238,5.338,2.423,2.815,3.21,2.97,2.125,2.515,3.088,3.288,2.926,4.424,31.514,3.297,3.111,6.81,7.977,2.727,4.247,3.242,3.473,5.163,3.23,148.551,2.734,2.73,2.994,4.415,32.762,4.824,3.972,3.336,2.366,12.063,5.194,4.765,4.828,3.276,2.836,109.607,7.075,3.795,2.616,3.279,2.182,2.536,3.301,2.73,2.867,3.978,2.998
3.979,NaN,34.245,44.128,4.426,8.433,5.102,4.072,4.671,3.162,116.41,3.171,7.104,4.952,3.688,6.741,4.874,5.872,3.933,4.839,4.126,4.481,4.08,3.442,15.182,4.176,4.666,4.489,4.867,26.697,5.497,2.666,3.67,3.725,2.998,2.376,2.581,3.465,3.602,3.011,4.938,32.261,3.341,3.296,7.191,7.977,2.89,4.402,3.635,3.659,5.297,3.329,151.29,2.894,2.862,3.226,5.253,33.991,5.152,4.191,3.504,2.557,13.923,5.441,4.977,5.366,3.484,2.967,112.786,7.762,3.862,3.111,3.554,2.904,2.744,3.411,3.204,2.975,3.978,3.042
4.273,NaN,35.156,46.468,4.61,9.215,5.381,4.724,5.071,3.602,122.915,3.315,7.284,5.128,4.182,7.628,5.435,6.452,4.059,6.244,4.289,4.688,4.23,3.691,15.283,4.259,5.889,4.653,5.009,30.053,5.649,2.748,3.873,4.038,3.211,2.564,2.66,3.699,4.269,3.21,5.096,34.454,3.667,3.506,7.401,12.784,3.065,4.726,4.078,3.908,5.421,4.032,155.972,3.213,3.334,3.645,5.492,35.102,5.726,4.575,3.845,2.717,14.238,5.647,4.977,5.591,3.647,3.324,115.039,8.412,4.051,3.176,3.684,3.048,3.116,3.622,3.305,3.058,3.999,3.175
5.387,NaN,37.17,46.662,4.868,10.597,6.374,5.792,5.315,3.694,139.867,3.598,7.598,5.375,4.401,8.1,5.859,6.624,4.295,6.951,4.544,5.372,4.551,3.806,15.51,4.862,6.017,4.742,5.693,30.45,5.708,3.008,4.095,4.135,3.598,2.707,2.966,3.766,4.658,3.608,6.133,41.302,3.961,3.97,8.004,13.306,3.253,5.079,4.207,3.992,5.632,4.198,156.296,3.439,3.613,4.241,5.655,41.457,5.908,4.733,4.087,2.886,14.7,5.909,5.055,5.731,4.092,3.616,116.588,9.487,4.307,3.249,4.038,3.208,3.183,3.82,3.344,3.138,4.258,3.715
5.73,NaN,38.741,49.675,5.236,11.033,6.617,5.896,5.525,4.084,140.735,4.086,7.842,5.511,4.68,8.655,6.45,6.867,4.676,7.516,4.655,6.131,4.687,4.28,17.341,5.263,6.518,4.995,5.906,30.678,5.835,3.241,4.164,4.479,3.737,2.795,3.416,3.813,4.874,3.828,6.195,42.593,4.091,4.187,8.394,14.019,3.387,5.648,4.697,4.179,6.592,4.334,163.982,3.512,3.836,4.448,5.757,42.6,6.062,5.085,4.274,3.057,17.036,6.233,5.41,5.797,4.204,3.839,117.744,10.456,5.171,3.591,4.208,3.282,3.243,4.18,3.588,3.446,4.647,3.816
6.551,NaN,39.12,53.904,5.511,11.361,6.946,6.484,5.893,4.204,183.691,4.201,8.549,5.743,4.881,8.905,6.774,6.941,5.111,8.484,4.958,6.239,4.975,4.405,18.471,5.901,6.651,5.229,6.093,32.996,6.407,3.55,5.026,4.622,3.828,3.001,3.474,4.044,4.998,3.91,6.635,43.452,4.257,4.367,9.105,14.581,3.508,5.932,5.068,4.472,7.078,4.421,165.904,3.652,4.194,5.642,5.916,43.808,6.365,5.265,4.431,3.171,17.65,6.411,5.511,5.913,4.437,3.97,119.114,10.952,5.307,3.752,4.275,3.447,3.333,5.074,3.853,3.495,4.965,3.894
6.646,NaN,45.078,56.559,5.691,11.911,7.232,6.777,6.022,4.555,192.491,4.562,8.96,5.878,5.711,9.404,7.914,7.067,5.27,8.668,5.107,6.417,5.115,4.683,19.479,6.111,6.792,5.868,6.434,35.546,6.575,3.564,5.17,5.302,3.998,3.177,3.6,4.077,5.965,3.938,7.117,45.366,4.411,4.477,10.564,14.838,3.811,6.315,5.278,5,7.172,5.39,166.892,3.962,4.251,5.734,6.252,44.671,6.584,5.529,4.658,3.595,20.105,6.547,5.654,6.143,4.749,4.197,134.663,12.07,5.45,3.813,4.428,3.519,3.677,5.217,4.094,3.663,5.374,4.46
7.769,NaN,46.427,56.907,6.055,12.567,7.484,6.877,6.106,4.821,226.228,4.687,9.159,6.174,5.9,9.633,8.215,7.632,5.527,9.084,5.386,6.605,5.244,4.828,21.395,6.28,6.956,6.55,6.618,37.17,6.7,3.792,5.536,5.443,4.158,3.23,3.87,4.353,6.054,4.301,7.553,46.612,4.629,4.833,10.808,15.283,3.975,6.847,5.46,5.187,7.605,5.553,170.345,4.206,4.405,5.868,6.348,44.995,7.072,5.654,5.106,3.807,20.255,6.87,6.105,6.339,4.905,4.256,136.835,12.52,5.826,4.317,4.754,3.98,3.964,5.428,4.311,3.974,5.738,5.812
7.874,NaN,58.168,57.623,6.282,12.991,7.989,7.136,6.93,4.96,227.748,5.005,9.341,6.727,6.321,10.293,8.456,8.11,5.726,9.191,5.516,6.742,5.419,5.113,21.985,6.489,7.158,6.612,6.861,38.001,7.092,4.167,5.681,5.91,4.19,3.291,4.027,4.7,6.062,4.473,7.664,48.288,4.733,5.003,11.206,16.999,4.091,7.064,5.663,5.393,7.682,5.644,171.274,4.374,5.064,5.966,6.554,46.607,7.234,6.283,5.559,4.016,21,7.024,6.666,6.488,4.972,4.33,139.655,13.375,5.925,4.339,5.073,4.033,4.187,5.686,4.632,4.245,5.902,5.972
8.064,NaN,66.273,64.01,6.444,12.991,8.276,7.266,7.028,5.117,252.162,5.121,9.443,7.004,6.47,10.454,8.9,8.272,5.851,9.681,5.87,6.941,5.877,5.239,22.65,6.866,7.323,6.747,7.06,38.171,7.771,4.25,5.739,5.985,4.235,3.363,4.148,4.887,6.379,5.328,8.169,50.907,5.038,5.12,11.599,17.213,5.203,7.313,6.208,5.659,7.878,6.142,179.801,4.451,5.21,6.136,6.654,48.292,7.457,6.854,5.626,4.307,21.612,7.084,6.877,6.586,5.179,4.408,140.222,13.752,5.987,4.711,5.182,4.212,4.638,5.923,4.852,4.981,6.004,6.694
8.314,NaN,67.869,66.273,6.671,14.499,8.428,7.494,7.261,5.245,259.029,5.231,9.56,7.574,6.782,11.718,9.651,8.422,6.091,10.414,6.087,7.036,6.013,5.395,23.672,7.071,7.517,7.083,7.414,39.413,8.348,4.275,5.918,6.03,4.544,3.468,4.189,4.967,6.56,5.627,8.295,51.219,5.377,5.198,11.691,17.99,5.545,7.44,6.263,6.187,7.969,6.325,188.51,4.843,5.269,6.541,6.741,49.822,7.548,7.072,5.843,4.453,25.473,7.332,7.013,7.051,5.301,4.553,146.071,13.929,6.151,4.92,5.574,4.266,5.049,6.217,5.38,5.01,7.09,6.786
8.41,NaN,68.305,66.96,6.87,15.299,8.685,7.609,7.53,5.724,261.986,5.565,9.931,7.757,6.826,12.005,11.266,8.633,6.334,11.155,6.288,7.152,6.235,5.84,24.04,7.614,7.666,7.612,7.622,41.125,8.992,4.858,6.009,6.105,4.56,3.606,4.366,5.388,6.676,6.436,8.443,52.245,5.695,5.398,12.16,19.218,5.968,7.964,6.436,6.418,8.075,6.56,194.804,5.206,5.496,6.714,7.089,49.952,8.151,7.319,6.237,4.705,26.115,8.324,7.224,7.465,6.64,5.003,148.552,14.581,6.29,5.02,5.617,4.423,5.657,6.271,5.566,5.258,7.422,6.864
8.847,NaN,73.495,67.204,7.259,15.771,9.136,7.782,8.138,5.882,264.169,5.729,10.088,7.992,7.142,12.365,11.539,8.748,6.731,11.486,6.537,7.51,6.315,6.31,24.478,7.787,7.776,8.06,8.257,41.809,8.992,4.884,6.745,6.179,4.614,3.702,4.617,5.588,6.711,6.73,8.8,54.161,5.904,5.565,12.631,19.732,6.177,8.212,6.572,6.443,8.169,6.684,195.81,5.473,5.658,7.013,7.326,53.13,8.314,7.759,6.51,4.915,26.529,8.724,7.525,7.838,6.928,5.234,150.484,14.828,6.426,5.824,5.818,4.492,5.753,7.391,5.895,5.652,7.505,7.086
8.923,NaN,74.484,69.687,7.618,16.474,9.309,8.32,8.315,6.095,292.824,5.873,10.536,7.992,7.499,12.638,12.144,8.915,7.02,11.804,6.62,7.579,6.457,6.809,24.856,8.167,8.075,8.423,8.411,46.683,9.271,5.224,6.801,6.527,4.728,4.088,4.875,5.752,6.75,6.847,9.298,57.71,6.322,5.651,13.804,22.638,6.241,8.354,6.761,6.576,8.708,6.898,211.434,5.653,5.897,7.433,7.766,54.168,8.701,7.915,6.569,5.288,27.172,8.814,7.764,7.954,7.009,5.4,162.574,15.816,6.47,6.027,5.923,4.619,5.911,7.882,6.007,6.055,7.52,7.15
9.531,NaN,75.474,69.909,7.962,17.139,9.735,8.414,8.594,6.463,296.419,6.097,10.842,8.169,7.788,12.924,12.22,9.205,7.503,11.984,7.051,8.298,6.629,7.071,25.092,8.325,8.351,8.503,8.561,47.789,9.327,5.253,7.034,7.043,4.763,4.215,4.973,5.886,6.82,6.944,9.354,62.217,6.456,5.746,14.415,25.954,6.355,8.418,6.917,7.032,9.183,7.074,212.324,5.971,6.256,7.845,7.931,55.78,9.177,7.973,6.69,5.406,27.66,9.177,8.37,8.403,7.22,5.502,163.735,16.392,6.647,6.145,6.39,4.85,5.939,7.909,6.32,6.108,7.651,7.277
9.978,NaN,80.212,70.769,8.145,17.668,10.085,8.595,8.904,6.545,297.166,6.173,11.019,8.302,8.419,13.248,12.449,9.568,7.781,12.599,7.237,8.375,6.736,7.148,25.696,8.556,8.589,8.628,8.663,48.067,10.109,5.283,7.568,7.333,5.12,4.548,5.244,6.037,7.04,7.166,9.497,62.633,6.573,5.917,15.005,27.561,6.563,8.704,7.083,7.544,9.931,7.21,214.34,6.055,6.317,8.409,7.98,56.179,9.288,8.153,6.904,5.605,29.124,9.283,8.731,8.75,7.557,5.645,165.133,17.64,6.867,6.211,7.244,4.955,6.037,8.063,6.551,6.154,7.829,7.398
10.263,NaN,80.81,71.441,8.33,19.565,10.403,8.871,9.024,6.731,301.306,6.386,11.343,8.433,8.616,13.49,12.58,9.628,7.872,13.137,7.968,9.153,6.872,7.519,26.701,8.802,8.959,9.062,8.851,50.612,10.27,5.57,7.944,7.449,5.207,4.566,5.321,6.113,7.272,7.281,9.963,64.701,6.907,6.049,15.196,28.548,6.908,9.395,7.387,7.657,11.526,7.757,216.019,6.431,6.657,9.114,8.164,58.733,9.534,8.424,7.126,5.739,29.554,9.807,9.156,9.476,7.809,5.89,167.954,18.257,7.18,6.275,7.738,5.307,6.071,8.119,6.576,6.263,7.903,8.841
10.658,NaN,87.719,71.948,8.553,19.776,10.532,8.966,9.125,6.85,303.598,6.622,11.726,8.546,9.032,13.754,12.97,9.84,8.156,13.524,8.151,9.377,7.076,7.604,26.763,9.52,9.478,9.54,9.667,56.368,10.701,5.885,8.102,7.626,5.24,4.983,5.424,6.404,7.623,8.311,10.302,64.878,7.069,6.15,16.099,29.238,7.237,9.579,7.643,7.805,11.636,8.177,220.469,6.552,6.913,9.278,9.008,62.206,9.746,8.638,7.217,5.819,29.928,9.875,9.272,10.004,8.294,6.196,171.274,18.371,7.825,6.517,7.762,5.483,6.158,8.312,6.757,6.333,8.122,8.95
11.564,NaN,90.509,73.503,9.045,20.312,10.838,9.212,9.398,7.063,305.398,6.74,12.345,8.835,9.12,13.955,13.299,10.076,8.555,13.747,8.281,9.83,7.243,7.864,26.837,9.996,9.881,9.835,10.219,56.925,10.859,6.221,8.435,7.677,5.345,5.124,5.463,6.789,8.01,8.377,10.554,66.27,7.132,6.426,16.584,29.444,7.515,10.366,7.775,8.287,12.292,8.674,221.115,6.65,7.208,9.474,9.334,62.621,9.971,9.346,8.181,5.97,30.45,10.463,9.702,10.284,8.384,6.321,178.642,19.116,7.962,6.615,8.092,5.545,6.371,8.446,6.911,6.713,8.457,8.984
11.819,NaN,91.389,73.917,9.505,25.728,11.478,9.513,9.962,7.248,314.889,6.855,12.699,9.062,9.505,14.287,13.765,10.525,8.861,14.212,8.439,9.97,7.454,8.121,27.081,10.591,9.98,10.458,10.391,57.416,11.735,6.331,8.659,7.771,5.517,5.192,5.532,6.834,8.033,8.854,10.711,68.844,7.446,6.89,16.989,30.653,7.9,10.431,7.934,8.369,12.428,8.717,222.478,6.929,7.331,9.834,9.452,66.401,10.206,9.446,8.543,6.021,32.768,10.656,9.823,10.449,8.503,6.448,188.516,19.733,8.176,7.575,8.186,5.636,6.463,8.485,7.108,6.873,8.947,9.116
12.499,NaN,91.994,74.108,9.778,25.949,11.88,9.987,10.114,7.364,347.974,7.026,13.102,9.324,9.725,14.445,14.132,10.832,8.986,14.366,8.551,10.506,7.571,8.242,29.524,10.849,10.517,10.575,10.519,59.151,11.763,6.555,8.686,7.92,5.585,5.252,5.904,7.153,8.133,8.998,10.975,72.603,7.598,7.001,17.367,32.254,8.072,11.108,8.116,8.569,12.993,8.899,229.484,7.017,7.489,10.36,9.855,71.1,10.44,9.891,8.859,6.14,33.118,11.008,10.114,10.761,8.717,6.66,191.191,19.869,9.088,7.664,8.473,6.062,6.583,8.694,7.135,7.017,9.035,9.185
12.998,NaN,95.199,80.817,10.027,26.866,11.996,10.478,10.96,7.498,359.646,7.369,13.299,9.476,10.172,14.722,14.492,10.89,9.32,14.765,8.84,10.568,7.791,8.425,30.449,11.013,10.566,10.824,10.727,62.133,11.92,7.221,8.83,8.067,5.885,5.37,6.001,7.193,8.426,9.38,11.407,75.208,7.75,7.552,17.473,33.501,8.246,11.233,8.298,8.885,13.143,9.589,233.721,7.221,7.729,10.453,9.898,71.864,10.783,10.678,9.109,6.204,33.362,11.118,10.423,10.945,9.258,6.855,194.665,20.435,9.294,7.788,8.509,6.338,6.801,8.807,7.197,7.078,9.555,9.289
13.272,NaN,96.953,84.996,10.325,27.445,12.475,10.834,11.183,7.761,367.147,7.618,13.452,10.315,10.347,15.365,14.841,11.018,9.519,15.088,9.312,10.81,8.175,8.606,31.719,11.213,10.915,11.882,10.856,64.961,12.487,7.634,9.216,8.169,6.099,5.902,6.067,7.267,8.812,9.524,11.799,76.507,8.19,7.816,17.562,34.066,8.454,11.478,8.442,9.133,13.701,9.786,235.883,7.451,7.769,10.647,10.352,72.597,10.929,11.421,9.515,6.47,33.98,12.798,10.591,11.169,9.655,7.07,201.291,20.829,9.509,8.807,8.722,6.645,6.826,9.112,7.27,7.228,10.073,9.867
13.824,NaN,97.221,88.037,10.464,29.099,12.748,11.006,11.437,7.867,367.751,7.89,14.041,10.602,10.532,15.496,15.357,11.148,9.619,15.269,9.511,10.907,8.292,8.854,32.33,11.357,11.13,12.207,11.021,65.628,13.161,8.496,9.467,8.25,6.182,6.02,6.39,7.76,9.078,9.806,12.18,77.726,8.306,7.969,17.8,35.31,8.715,12.073,8.689,9.289,14.115,9.912,241.824,7.581,7.921,10.848,10.457,73.409,11.31,11.868,9.836,6.558,34.204,13.283,11.047,11.888,9.964,7.235,202.379,20.994,10.013,9.242,8.752,6.766,7.08,9.274,7.754,7.458,10.228,10.466
14.12,NaN,97.411,89.642,10.829,29.917,13.186,11.345,11.568,8.131,375.054,8.163,14.975,10.875,11.35,15.971,15.765,11.473,9.867,15.513,9.738,11.136,8.42,9.209,32.995,11.544,11.35,12.459,11.363,66.991,13.729,8.991,10.299,8.438,6.323,6.465,6.521,8.106,9.977,10.159,12.892,81.778,8.431,8.186,18.26,35.377,8.867,12.225,8.804,9.638,14.353,10.468,249.501,7.797,8.111,11.216,10.865,75.203,11.462,11.982,9.969,6.642,34.441,13.754,11.37,12.058,10.254,7.319,206.122,21.121,10.161,9.287,9.265,6.865,7.142,9.688,7.854,7.513,10.287,10.662
15.183,NaN,97.492,89.984,11.352,31.205,13.381,11.461,11.901,8.306,377.224,8.266,15.322,11.006,11.9,16.166,16.128,11.714,10.101,15.878,9.879,11.338,8.61,9.558,34.23,11.73,11.571,12.593,11.894,66.991,14.134,8.991,10.466,8.463,6.455,6.746,6.678,8.148,10.425,10.336,13.258,86.461,8.696,8.409,18.498,36.454,9.029,12.381,9.107,9.822,14.761,10.874,253.464,7.948,8.256,11.518,11.186,75.492,11.555,12.169,10.308,6.861,35.008,13.963,11.512,13.023,10.543,7.477,216.844,21.295,10.232,9.425,9.658,6.934,7.241,10.041,8.198,7.589,10.773,10.785
15.459,NaN,98.034,92.981,11.605,31.823,13.521,12.033,12.243,8.431,380.532,8.428,15.492,11.109,11.965,16.611,17.326,11.904,10.373,16.156,10.336,11.526,8.878,10.094,35.145,11.986,12.191,12.763,12.005,75.291,14.351,9.165,10.751,8.555,6.491,7.075,6.785,8.443,11.887,10.522,13.355,90.598,8.808,9.048,18.841,37.554,9.434,12.505,9.285,10.472,14.829,10.948,256.907,8.414,8.359,11.624,11.678,79.782,11.905,12.466,10.477,7.242,35.354,14.485,12.246,13.147,11.048,7.733,219.97,21.587,10.55,9.746,9.744,7.021,7.445,10.303,8.536,7.698,10.828,10.897
16.457,NaN,98.248,95.409,11.733,32.318,13.928,12.15,12.468,8.516,382.983,8.519,16.015,11.378,12.157,16.845,17.603,12.21,10.472,16.258,10.605,11.875,9.213,10.271,36.793,12.138,12.965,12.977,13.099,77.073,14.681,9.411,11.198,8.841,6.635,7.109,6.88,8.484,11.954,10.886,13.461,91.212,9.173,9.297,18.985,39.183,9.519,12.693,9.773,10.604,15.18,11.458,262.081,8.633,8.972,11.663,12.279,81.261,12.154,12.584,10.905,7.416,38.595,14.589,12.418,13.516,11.422,7.925,220.473,22.764,10.764,10.379,9.84,7.082,7.616,10.452,8.788,7.768,11.176,10.975
16.757,NaN,99.579,97.485,12.009,32.735,14.25,12.374,12.585,8.698,386.86,8.638,16.3,11.663,12.331,17.086,17.788,12.45,10.722,16.397,10.782,12.26,9.519,10.539,37.997,12.386,13.006,13.513,13.289,78.463,14.897,9.994,11.27,8.908,6.679,7.259,7.008,8.557,12.095,10.913,13.621,93.839,9.314,9.427,19.303,39.432,9.618,13.033,9.99,10.902,15.646,11.535,269.221,8.873,9.403,12.066,12.508,81.529,12.347,12.702,11.418,7.487,41.849,14.738,12.54,13.655,12.414,8.174,221.105,23.587,10.814,10.482,10.232,7.176,7.705,10.816,9.12,8.153,11.289,11.031
17.144,NaN,100.023,98.045,12.142,32.804,14.478,13.229,12.757,9.017,389.966,8.923,16.608,11.903,12.586,17.37,18.523,12.553,10.88,16.501,10.843,12.603,10.082,10.753,38.313,13.283,13.542,14.019,14.165,78.827,14.955,10.034,11.324,9.067,6.723,7.44,7.184,8.595,12.153,11.56,13.904,95.878,9.53,9.688,19.554,40.527,9.719,13.225,10.25,10.967,16.318,11.698,274.047,9.281,9.602,12.531,12.728,82.556,13.177,12.776,11.697,7.659,43.921,14.83,12.9,13.867,12.536,8.362,222.477,23.906,11.211,10.752,10.937,7.226,8.018,10.928,9.223,8.363,11.327,11.117
