U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
284.331,NaN,207.374,204.749,244.991,197.428,260.52,220.888,215.85,164.511,203.389,193.804,295.428,235.018,210.241,227.727,229.333,223.336,202.31,225.774,188.56,176.066,186.812,176.303,202.632,201.421,203.145,195.001,214.078,230.057,261.637,240.693,229.588,194.641,177.63,184.341,190.054,198.955,264.39,219.331,245.658,202.975,169.599,188.34,290.539,193.19,185.528,237.483,210.365,215.642,250.663,206.908,231.968,190.372,167.459,192.357,195.973,197.544,209.205,210.317,180.696,207.26,209.561,189.495,197.688,226.994,251.772,183.464,240.273,163.194,228.777,273.606,218.786,174.522,179.514,232.77,212.819,201.676,245.873,237.025
287.324,NaN,207.858,205.712,247.047,199.76,263.052,221.813,216.071,164.832,204.422,194.743,297.097,235.858,212.268,228.715,230.234,225.502,202.721,228.477,189.143,176.493,192.032,177.179,202.727,204.502,203.691,195.461,215.68,232.125,261.811,243.804,231.757,200.099,177.92,184.781,193.051,199.695,265.146,219.894,245.842,202.975,169.808,189.267,290.7,193.75,187.51,238.397,211.12,217.583,250.831,209.192,232.765,191.306,170.6,192.53,195.973,198.22,210.748,211.097,181.367,207.705,210.349,189.943,198.631,227.97,254.313,183.901,240.57,164.153,228.994,274.311,221.071,175.098,182.147,233.838,212.889,203.099,246.331,237.358
287.597,NaN,208.389,209.595,247.211,200.739,264.266,222.068,216.915,165.36,204.662,195.104,300.692,237.617,213.317,228.955,231.568,227.242,203.655,228.807,189.94,177.218,195.419,177.377,203.176,204.894,204.085,195.725,216.772,235.852,262.04,244.329,234.129,202.139,180.868,185.374,194.92,201.166,265.312,220.048,249.871,203.797,169.954,190.291,292.337,195.86,188.108,239.174,214.463,221.433,251.128,210.475,233.861,191.906,171.129,192.818,196.133,198.64,211.507,211.294,181.838,208.143,210.501,192.518,198.985,229.388,255.44,184.859,241.343,164.835,229.698,275.631,223.509,177.306,183.139,236.096,214.595,204.116,246.976,238.355
288.759,NaN,209.486,210.475,250.338,201.124,264.419,222.584,218.709,166.253,205.006,195.617,301.082,238.129,213.77,231.583,232.31,227.781,204.653,229.394,192.455,179.3,196.594,179.859,204.637,205.29,205.484,196.362,217.851,236.141,262.541,245.754,235.22,203.323,181.699,185.603,195.337,201.448,267.593,220.928,251.199,205.204,170.407,191.299,294.495,197.211,189.766,239.51,215.538,221.705,253.552,211.382,238.834,192.363,172.148,193.441,196.711,199.553,212.672,211.5,182.056,208.622,211.005,194.164,199.952,231.039,256.099,185.651,241.834,165.313,231.029,275.844,225.214,184.495,183.705,238.88,216.52,204.68,248.935,238.942
290.433,NaN,211.786,210.684,250.899,201.428,265.455,222.744,219.062,166.492,206.866,195.98,301.956,238.284,214.208,234.066,232.582,229.728,205.748,229.849,194.342,179.489,197.647,180.052,205.11,205.508,206.639,199.691,218.443,237.868,263.153,246.145,235.463,205.342,182.506,186.212,195.759,206.007,269.462,223.612,251.522,205.983,171.23,192.44,295.165,197.361,190.006,239.853,215.987,222.689,253.948,211.789,240.345,195.727,173.684,194.715,197.694,199.756,213.449,212.087,182.904,214.863,211.395,194.705,201.926,232.433,256.375,186.212,242.817,165.925,232.196,276.505,225.487,186.242,184.659,239.992,219.119,205.912,250.759,239.763
290.999,NaN,212.017,212.869,251.137,204.133,265.896,225.069,219.737,168.3,207.467,196.148,304.901,238.762,216.19,235.997,235.806,230.523,205.916,231.009,194.964,181.407,198.839,180.451,207.358,205.662,207.711,201.651,218.956,238.396,264.793,247.117,237.562,207.172,186.941,186.455,196.815,206.645,270.586,226.969,252.331,206.631,171.42,193.446,296.248,198.082,190.966,240.003,223.238,224.122,255.635,212.363,242.015,196.23,175.58,195.755,201.14,199.934,217.243,212.395,183.066,215.529,211.515,194.861,202.054,232.873,258.85,186.456,243.984,166.495,233.066,278.148,226.029,186.427,186.972,240.286,219.706,210.645,252.934,240.651
294.83,NaN,212.633,213.128,251.925,204.584,266.137,225.239,220.202,169.073,210.232,197.422,306.351,242.226,217.02,237.018,241.257,230.837,207.158,232.087,195.184,182.309,199.296,180.837,207.868,212.612,208.316,202.974,220.623,239.489,266.872,249.647,239.405,207.581,188.486,186.822,196.986,206.901,270.851,228.105,253.222,209.383,173.203,195.033,297.629,200.486,192.697,240.889,224.119,224.807,255.851,212.937,242.957,197.997,176.04,199.915,204.922,201.234,217.403,212.788,184.351,217.216,213.139,195.472,203.397,233.881,259.962,188.921,244.539,167.631,233.594,280.743,226.522,188.125,186.972,240.918,220.144,210.841,256.404,240.748
296.194,NaN,213.028,215.639,256.91,204.975,268.679,225.959,221.406,169.347,210.532,201.54,307.636,244.995,218.19,239.399,242.201,231.311,209.311,234.684,196.157,183.446,202.716,181.876,209.08,212.817,209.324,202.974,220.916,241.919,273.532,251.878,240.557,209.07,189.08,187.728,197.47,207.365,279.749,228.702,256.617,209.999,174.69,195.727,299.268,200.68,194.645,241.186,224.868,225.611,256.24,213.592,243.255,198.857,176.288,203.804,206.066,201.935,218.069,216.088,186.731,217.719,214.124,197.221,205.776,234.861,260.493,190.682,245.098,169.085,234.359,283.319,227.934,190.472,189.074,240.988,221.479,210.994,257.427,243.937
296.529,NaN,214.921,216.78,257.497,205.514,272.618,226.417,222.304,169.557,213.201,202.575,309.397,245.201,220.082,239.784,244.021,234.948,211.239,236.236,198.81,187.371,203.325,187.062,210.787,215.864,209.96,203.196,221.64,243.187,275.352,252.052,241.626,210.239,189.494,188.677,199.871,208.037,279.856,229.396,257.174,210.404,176.144,196.616,300.065,201.517,196.224,241.916,226.007,228.468,257.712,214.109,244.049,198.994,178.63,204.651,206.242,202.831,219.378,217.103,186.889,219.568,214.911,197.863,206.039,236.419,261.691,190.836,246.178,169.606,235.842,283.833,228.004,190.962,189.683,241.905,221.608,211.745,261.037,245.203
299.576,NaN,215.852,217.193,257.708,206.238,274.08,227.292,222.452,170.977,213.379,203.037,309.889,245.657,222.051,240.888,247.68,236.678,217.091,237.092,200.174,187.849,204.07,188.078,211.933,219.116,210.54,203.41,221.885,245.308,279.338,252.505,243.187,211.499,191.33,188.921,201.81,208.263,281.573,229.571,259.678,211.224,176.521,197.67,302.191,201.919,196.624,242.559,230.223,234.393,259.775,215.074,246.584,199.185,179.036,205.211,210.577,205.637,219.991,218.775,187.502,220.747,216.226,201.814,206.555,238.473,262.023,191.532,248.755,170.924,235.89,284.074,228.161,197.37,189.727,241.956,224.705,212.003,263.211,246.307
299.919,NaN,216.605,218.538,259.303,206.765,274.573,231.062,225.002,171.185,213.674,203.972,311.824,246.103,225.923,241.62,248.599,239.487,218.374,238.088,201.549,188.27,204.345,188.703,212.204,220.534,211.613,203.629,222.931,247.007,282.158,253.038,243.44,212.078,193.053,188.984,202.88,208.808,281.851,229.893,260.486,212.832,177.031,198.445,303.928,202.237,199.662,243.452,232.126,234.879,260.468,216.084,248.664,199.605,179.317,205.786,213.804,206.221,221.184,220.785,188.097,220.968,221.323,202.078,208.128,239.651,262.962,191.667,250.079,171.404,236.215,286.138,231.178,197.815,191.87,242.414,224.834,214.055,263.398,248.101
301.117,NaN,217.226,218.937,260.013,208.613,277.299,231.207,225.38,173.966,216.294,203.972,312.386,249.513,226.19,241.878,251.615,242.604,218.528,239.644,204.592,189.929,205.823,190.581,212.643,221.392,211.925,204.409,224.431,247.761,284.85,254.339,244.197,212.801,193.45,190.332,202.978,209.874,284.807,230.001,262.775,214.339,178.219,199.653,304.855,202.674,201.965,246.593,232.31,236.672,261.811,216.783,248.88,205.063,180.367,206.063,214.602,206.624,221.562,221.513,189.409,221.815,221.819,202.492,209.483,242.387,263.343,191.917,252.189,172.361,239.101,287.263,231.717,200.494,192.871,242.846,231.944,215.321,264.665,249.948
301.267,NaN,219.752,219.897,261.928,210.313,279.851,231.574,225.783,175.929,217.161,204.424,313.051,250.205,226.55,245.278,251.881,243.254,219.889,239.944,205.731,190.305,206.189,193.444,213.789,223.822,212.036,204.645,225.89,248.362,286.158,255.278,244.603,214.168,194.456,190.415,204.261,210.293,289.412,230.54,264.695,215.963,178.639,201.956,308.913,202.815,203.313,247.297,232.911,237.122,262.369,217.253,249.888,206.118,181.267,206.692,215.654,208.762,224.333,221.747,190.257,222.721,222.586,202.732,212.053,243.494,263.533,193.184,252.735,173.102,241.721,287.997,231.975,202.489,193.78,243.058,232.088,215.519,264.903,250.594
301.963,NaN,222.011,221.622,263.624,211.949,280.512,232.076,226.576,176.134,217.845,204.579,314.138,251.516,227.674,245.798,256.898,244.611,223.183,241.845,207.423,190.678,206.361,195.266,215.951,224.156,212.499,205.234,226.521,249.33,287.344,255.564,244.954,215.562,198.612,190.558,205.453,210.55,290.305,233.373,266.078,217.181,179.324,202.868,313.016,203.766,203.618,248.098,234.892,238.702,262.747,218.159,251.867,207.723,181.785,207.725,216.158,209.569,224.733,224.647,191.65,224.13,222.745,203.079,214.033,244.638,263.89,195.253,253.214,173.835,243.337,290.504,231.975,202.823,193.902,250.887,232.894,215.866,265.714,255.012
303.502,NaN,225.851,221.755,264.544,212.475,280.683,232.467,228.398,176.645,218.154,206.814,314.752,251.709,229.13,246.592,258.83,245.131,224.063,242.128,207.894,190.997,206.506,195.792,216.632,224.699,212.659,206.054,226.879,250.04,288.007,258.686,245.698,215.862,198.985,190.677,205.616,211.301,291.173,235.904,267.008,219.372,180.677,204.672,314.417,204.378,204.356,249.473,238.871,239.611,263.081,218.308,255.927,207.962,181.985,208.137,219.116,210.343,225.775,226.693,191.854,226.418,223.494,204.504,214.187,248.941,264.879,195.666,254.69,174.258,244.092,291.365,233.231,203.038,194.434,251.423,235.006,216.028,266.114,261.351
303.815,NaN,226.01,221.828,264.923,214.995,282.744,233.053,229.788,177.489,224.382,207.616,314.982,258.965,231.01,248.37,259.775,245.908,224.945,244.356,210.178,192.569,207.376,196.618,216.984,225.078,215.125,206.687,227.909,250.188,288.668,259.791,248.256,216.089,199.552,191.917,205.919,212.908,292.351,239.285,267.259,219.684,182.139,205.042,314.82,204.554,205.245,249.892,240.279,240.298,264.534,221.1,256.91,208.195,182.149,208.614,219.322,211.247,227.683,228.472,193.261,226.687,223.931,206.803,214.968,250.827,266.086,197.206,258.272,176.078,245.557,292.241,233.864,203.335,195.013,252.578,235.605,216.249,267.386,262.599
304.869,NaN,226.556,223.191,268.118,216.082,283.688,237.662,229.958,177.701,225.212,209.54,316.43,260.247,233.162,250.927,261.395,247.801,226.553,247.466,210.325,193.118,209.877,197.137,217.156,225.803,217.801,207.114,229.888,250.925,289.202,260.091,249.302,216.95,200.155,192.028,206.642,213.189,293.816,240.831,268.05,219.87,183.899,205.236,316.773,205.341,206.295,251.937,240.982,242.207,265.65,221.62,258.937,209.196,182.968,209.764,219.49,211.778,228.35,231.487,194.638,227.514,225.772,208.621,216.073,254.467,267.624,197.872,258.562,176.504,246.589,292.63,234.548,203.774,195.119,252.827,235.975,218.228,270.244,263.961
307.227,NaN,226.979,223.973,269.427,216.314,285.636,238.669,231.096,179.587,226.962,209.906,319.759,260.485,233.932,251.868,262.743,248.811,227.031,248.555,211.396,194.355,210.627,198.192,218.048,226.866,218.17,207.4,236.626,251.86,290.115,263.343,249.371,218.775,200.372,193.808,207.198,213.799,295.155,241.79,268.364,222.834,184.1,206.2,317.189,208.433,207.235,254.34,243.053,242.807,265.932,222.729,262.062,211.255,183.472,210.412,220.466,212.006,229.587,231.915,200.099,227.745,231.463,209.028,217.891,255.58,267.967,198.164,259.904,176.733,246.943,293.023,235.528,203.974,196.293,253.613,235.975,219.334,270.873,264.276
308.407,NaN,228.484,223.973,269.716,218.571,287.506,239.586,232.317,180.237,227.478,210.32,326.064,262.597,234.813,254.512,263.579,249.564,229.094,252.885,214.915,194.725,211.372,201.217,218.188,229.439,219.879,207.78,238.531,252.548,291.174,265.095,249.466,218.963,200.587,200.076,207.655,216.101,295.23,242.504,270.588,230.186,188.333,206.94,319.899,208.612,208.829,257.368,243.776,243.977,266.451,223.499,263.122,211.471,184.214,210.964,221.188,213.256,229.847,233.004,203.193,228.478,231.986,209.211,218.083,257.075,268.731,199.007,260.412,177.492,249.235,293.515,238.074,203.974,199.841,255.934,239.333,220.033,273.831,264.425
310.43,NaN,229.634,224.126,270.549,218.932,287.628,240.674,233.319,181.288,228.001,211.476,327.146,263.959,236.809,254.762,263.7,251.339,230.843,253.484,218.542,195.694,214.222,202.573,221.07,231.317,221.458,209.402,239.812,254.754,292.314,266.935,250.335,220.644,200.943,200.247,207.911,216.93,295.418,245.982,271.959,230.967,189.674,207.403,321.054,209.717,210.833,259.366,245.658,246.771,268.503,224.451,263.572,211.835,186.497,211.238,222.631,213.681,231.399,233.94,205.725,229.178,233.058,209.472,218.219,262.182,270.597,202.531,263.228,178.461,250.131,293.644,245.428,204.561,200.06,256.298,241.348,220.929,273.998,264.82
313.215,NaN,230.633,225.377,270.733,219.972,288.897,241.54,233.75,183.035,228.924,213.171,331.014,265.524,237.315,255.555,264.405,252.807,232.641,254.128,218.918,197.631,214.92,202.712,221.879,232.083,221.581,209.545,240.272,255.477,292.71,267.455,252.954,221.153,201.926,200.942,208.082,216.994,300.17,246.536,272.758,231.492,190.832,208.19,322.636,212.331,211.11,260.18,246.592,247.09,269.355,224.728,263.804,213.382,187.463,211.992,223.066,214.116,239.645,236.598,206.328,229.748,234.507,209.889,219.937,263.784,272.184,207.166,263.565,179.333,251.281,293.888,247.807,204.711,201.496,256.392,242.405,221.415,275.105,265.093
315.127,NaN,234.821,225.612,271.294,219.972,289.965,243.521,234.246,183.19,230.952,213.695,335.483,266.579,237.642,255.728,269.385,255.339,235.481,259.786,220.642,198.358,217.558,203.204,222.119,235.79,221.85,210.075,242.116,255.722,292.981,269.895,254.708,221.902,202.136,202.596,209.377,218.194,300.624,247.704,273.151,232.887,191.282,208.821,323.121,212.793,212.407,260.829,249.098,248.655,273.532,225.537,266.872,214.041,188.28,212.475,223.562,214.608,240.608,238.079,207.436,230.12,235.574,211.849,221.407,265.461,274.33,207.697,264.039,179.96,251.977,294.674,249.575,205.216,201.543,258.963,243.829,222.474,275.775,265.525
