data_id,neurons_name_pos,neurons_involved_pos,isComb
80M_low,U31,31,FALSE
80M_low,U32,32,FALSE
80M_low,U33,33,FALSE
80M_low,U34,34,FALSE
80M_low,U35,35,FALSE
80M_low,U36,36,FALSE
80M_low,U37,37,FALSE
80M_low,U38,38,FALSE
80M_low,U39,39,FALSE
80M_low,U40,40,FALSE
80M_low,U41,41,FALSE
80M_low,U42,42,FALSE
80M_low,U43,43,FALSE
80M_low,U44,44,FALSE
80M_low,U45,45,FALSE
80M_low,U46,46,FALSE
80M_low,U47,47,FALSE
80M_low,U48,48,FALSE
80M_low,U49,49,FALSE
80M_low,U50,50,FALSE
80M_low,U51,51,FALSE
80M_low,U52,52,FALSE
80M_low,U53,53,FALSE
80M_low,U54,54,FALSE
80M_low,U55,55,FALSE
80M_low,U56,56,FALSE
80M_low,U57,57,FALSE
80M_low,U58,58,FALSE
80M_low,U59,59,FALSE
80M_low,U60,60,FALSE
80M_low,U61,61,FALSE
80M_low,U62,62,FALSE
80M_low,U63,63,FALSE
80M_low,U64,64,FALSE
80M_low,U65,65,FALSE
80M_low,U66,66,FALSE
80M_low,U67,67,FALSE
80M_low,U68,68,FALSE
80M_low,U69,69,FALSE
80M_low,U70,70,FALSE
80M_low,U71,71,FALSE
80M_low,U72,72,FALSE
80M_low,U73,73,FALSE
80M_low,U74,74,FALSE
80M_low,U75,75,FALSE
80M_low,U76,76,FALSE
80M_low,U77,77,FALSE
80M_low,U78,78,FALSE
80M_low,U79,79,FALSE
80M_low,U80,80,FALSE
80NM_high,U1,1,FALSE
80NM_high,U2,2,FALSE
80NM_high,U5,5,FALSE
80NM_high,U7,7,FALSE
80NM_high,U8,8,FALSE
80NM_high,U9,9,FALSE
80NM_high,U10,10,FALSE
80NM_high,U12,12,FALSE
80NM_high,U13,13,FALSE
80NM_high,U14,14,FALSE
80NM_high,U15,15,FALSE
80NM_high,U16,16,FALSE
80NM_high,U17,17,FALSE
80NM_high,U18,18,FALSE
80NM_high,U19,19,FALSE
80NM_high,U20,20,FALSE
80NM_high,U21,21,FALSE
80NM_high,U22,22,FALSE
80NM_high,U23,23,FALSE
80NM_high,U24,24,FALSE
80NM_high,U26,26,FALSE
80NM_high,U27,27,FALSE
80NM_high,U28,28,FALSE
80NM_high,U29,29,FALSE
80NM_high,U31,31,FALSE
80NM_high,U32,32,FALSE
80NM_high,U33,33,FALSE
80NM_high,U34,34,FALSE
80NM_high,U35,35,FALSE
80NM_high,U36,36,FALSE
80NM_high,U37,37,FALSE
80NM_high,U38,38,FALSE
80NM_high,U39,39,FALSE
80NM_high,U40,40,FALSE
80NM_high,U41,41,FALSE
80NM_high,U42,42,FALSE
80NM_high,U43,43,FALSE
80NM_high,U44,44,FALSE
80NM_high,U45,45,FALSE
80NM_high,U46,46,FALSE
80NM_high,U47,47,FALSE
80NM_high,U48,48,FALSE
80NM_high,U49,49,FALSE
80NM_high,U50,50,FALSE
80NM_high,U51,51,FALSE
80NM_high,U52,52,FALSE
80NM_high,U53,53,FALSE
80NM_high,U54,54,FALSE
80NM_high,U55,55,FALSE
80NM_high,U56,56,FALSE
80NM_high,U57,57,FALSE
80NM_high,U58,58,FALSE
80NM_high,U59,59,FALSE
80NM_high,U60,60,FALSE
80NM_high,U61,61,FALSE
80NM_high,U62,62,FALSE
80NM_high,U63,63,FALSE
80NM_high,U64,64,FALSE
80NM_high,U65,65,FALSE
80NM_high,U66,66,FALSE
80NM_high,U67,67,FALSE
80NM_high,U68,68,FALSE
80NM_high,U69,69,FALSE
80NM_high,U70,70,FALSE
80NM_high,U71,71,FALSE
80NM_high,U72,72,FALSE
80NM_high,U73,73,FALSE
80NM_high,U74,74,FALSE
80NM_high,U75,75,FALSE
80NM_high,U76,76,FALSE
80NM_high,U77,77,FALSE
80NM_high,U78,78,FALSE
80NM_high,U79,79,FALSE
80NM_high,U80,80,FALSE
80NM_medium,U1,1,FALSE
80NM_medium,U2,2,FALSE
80NM_medium,U5,5,FALSE
80NM_medium,U7,7,FALSE
80NM_medium,U8,8,FALSE
80NM_medium,U9,9,FALSE
80NM_medium,U10,10,FALSE
80NM_medium,U12,12,FALSE
80NM_medium,U13,13,FALSE
80NM_medium,U14,14,FALSE
80NM_medium,U15,15,FALSE
80NM_medium,U16,16,FALSE
80NM_medium,U17,17,FALSE
80NM_medium,U18,18,FALSE
80NM_medium,U19,19,FALSE
80NM_medium,U20,20,FALSE
80NM_medium,U21,21,FALSE
80NM_medium,U22,22,FALSE
80NM_medium,U23,23,FALSE
80NM_medium,U24,24,FALSE
80NM_medium,U26,26,FALSE
80NM_medium,U27,27,FALSE
80NM_medium,U28,28,FALSE
80NM_medium,U29,29,FALSE
80NM_medium,U31,31,FALSE
80NM_medium,U32,32,FALSE
80NM_medium,U33,33,FALSE
80NM_medium,U34,34,FALSE
80NM_medium,U35,35,FALSE
80NM_medium,U36,36,FALSE
80NM_medium,U37,37,FALSE
80NM_medium,U38,38,FALSE
80NM_medium,U39,39,FALSE
80NM_medium,U40,40,FALSE
80NM_medium,U41,41,FALSE
80NM_medium,U42,42,FALSE
80NM_medium,U43,43,FALSE
80NM_medium,U44,44,FALSE
80NM_medium,U45,45,FALSE
80NM_medium,U46,46,FALSE
80NM_medium,U47,47,FALSE
80NM_medium,U48,48,FALSE
80NM_medium,U49,49,FALSE
80NM_medium,U50,50,FALSE
80NM_medium,U51,51,FALSE
80NM_medium,U52,52,FALSE
80NM_medium,U53,53,FALSE
80NM_medium,U54,54,FALSE
80NM_medium,U55,55,FALSE
80NM_medium,U56,56,FALSE
80NM_medium,U57,57,FALSE
80NM_medium,U58,58,FALSE
80NM_medium,U59,59,FALSE
80NM_medium,U60,60,FALSE
80NM_medium,U61,61,FALSE
80NM_medium,U62,62,FALSE
80NM_medium,U63,63,FALSE
80NM_medium,U64,64,FALSE
80NM_medium,U65,65,FALSE
80NM_medium,U66,66,FALSE
80NM_medium,U67,67,FALSE
80NM_medium,U68,68,FALSE
80NM_medium,U69,69,FALSE
80NM_medium,U70,70,FALSE
80NM_medium,U71,71,FALSE
80NM_medium,U72,72,FALSE
80NM_medium,U73,73,FALSE
80NM_medium,U74,74,FALSE
80NM_medium,U75,75,FALSE
80NM_medium,U76,76,FALSE
80NM_medium,U77,77,FALSE
80NM_medium,U78,78,FALSE
80NM_medium,U79,79,FALSE
80NM_medium,U80,80,FALSE
80NM_low,U1,1,FALSE
80NM_low,U2,2,FALSE
80NM_low,U5,5,FALSE
80NM_low,U7,7,FALSE
80NM_low,U8,8,FALSE
80NM_low,U9,9,FALSE
80NM_low,U10,10,FALSE
80NM_low,U12,12,FALSE
80NM_low,U13,13,FALSE
80NM_low,U14,14,FALSE
80NM_low,U15,15,FALSE
80NM_low,U16,16,FALSE
80NM_low,U17,17,FALSE
80NM_low,U18,18,FALSE
80NM_low,U19,19,FALSE
80NM_low,U20,20,FALSE
80NM_low,U21,21,FALSE
80NM_low,U22,22,FALSE
80NM_low,U23,23,FALSE
80NM_low,U24,24,FALSE
80NM_low,U26,26,FALSE
80NM_low,U27,27,FALSE
80NM_low,U28,28,FALSE
80NM_low,U29,29,FALSE
80NM_low,U31,31,FALSE
80NM_low,U32,32,FALSE
80NM_low,U33,33,FALSE
80NM_low,U34,34,FALSE
80NM_low,U35,35,FALSE
80NM_low,U36,36,FALSE
80NM_low,U37,37,FALSE
80NM_low,U38,38,FALSE
80NM_low,U39,39,FALSE
80NM_low,U40,40,FALSE
80NM_low,U41,41,FALSE
80NM_low,U42,42,FALSE
80NM_low,U43,43,FALSE
80NM_low,U44,44,FALSE
80NM_low,U45,45,FALSE
80NM_low,U46,46,FALSE
80NM_low,U47,47,FALSE
80NM_low,U48,48,FALSE
80NM_low,U49,49,FALSE
80NM_low,U50,50,FALSE
80NM_low,U51,51,FALSE
80NM_low,U52,52,FALSE
80NM_low,U53,53,FALSE
80NM_low,U54,54,FALSE
80NM_low,U55,55,FALSE
80NM_low,U56,56,FALSE
80NM_low,U57,57,FALSE
80NM_low,U58,58,FALSE
80NM_low,U59,59,FALSE
80NM_low,U60,60,FALSE
80NM_low,U61,61,FALSE
80NM_low,U62,62,FALSE
80NM_low,U63,63,FALSE
80NM_low,U64,64,FALSE
80NM_low,U65,65,FALSE
80NM_low,U66,66,FALSE
80NM_low,U67,67,FALSE
80NM_low,U68,68,FALSE
80NM_low,U69,69,FALSE
80NM_low,U70,70,FALSE
80NM_low,U71,71,FALSE
80NM_low,U72,72,FALSE
80NM_low,U73,73,FALSE
80NM_low,U74,74,FALSE
80NM_low,U75,75,FALSE
80NM_low,U76,76,FALSE
80NM_low,U77,77,FALSE
80NM_low,U78,78,FALSE
80NM_low,U79,79,FALSE
80NM_low,U80,80,FALSE
40R_high,U1,1,FALSE
40R_high,U2,2,FALSE
40R_high,U3,3,FALSE
40R_high,U4,4,FALSE
40R_high,U5,5,FALSE
40R_high,U6,6,FALSE
40R_high,U7,7,FALSE
40R_high,U8,8,FALSE
40R_high,U9,9,FALSE
40R_high,U10,10,FALSE
40R_high,U11,11,FALSE
40R_high,U12,12,FALSE
40R_high,U13,13,FALSE
40R_high,U14,14,FALSE
40R_high,U15,15,FALSE
40R_high,U16,16,FALSE
40R_high,U17,17,FALSE
40R_high,U18,18,FALSE
40R_high,U19,19,FALSE
40R_high,U20,20,FALSE
40R_high,U21,21,FALSE
40R_high,U22,22,FALSE
40R_high,U23,23,FALSE
40R_high,U24,24,FALSE
40R_high,U25,25,FALSE
40R_high,U26,26,FALSE
40R_high,U27,27,FALSE
40R_high,U28,28,FALSE
40R_high,U29,29,FALSE
40R_high,U30,30,FALSE
40R_high,U31,31,FALSE
40R_high,U32,32,FALSE
40R_high,U33,33,FALSE
40R_high,U34,34,FALSE
40R_high,U35,35,FALSE
40R_high,U36,36,FALSE
40R_high,U37,37,FALSE
40R_high,U38,38,FALSE
40R_high,U39,39,FALSE
40R_high,U40,40,FALSE
40R_medium,U1,1,FALSE
40R_medium,U2,2,FALSE
40R_medium,U3,3,FALSE
40R_medium,U4,4,FALSE
40R_medium,U5,5,FALSE
40R_medium,U6,6,FALSE
40R_medium,U7,7,FALSE
40R_medium,U8,8,FALSE
40R_medium,U9,9,FALSE
40R_medium,U10,10,FALSE
40R_medium,U11,11,FALSE
40R_medium,U12,12,FALSE
40R_medium,U13,13,FALSE
40R_medium,U14,14,FALSE
40R_medium,U15,15,FALSE
40R_medium,U16,16,FALSE
40R_medium,U17,17,FALSE
40R_medium,U18,18,FALSE
40R_medium,U19,19,FALSE
40R_medium,U20,20,FALSE
40R_medium,U21,21,FALSE
40R_medium,U22,22,FALSE
40R_medium,U23,23,FALSE
40R_medium,U24,24,FALSE
40R_medium,U25,25,FALSE
40R_medium,U26,26,FALSE
40R_medium,U27,27,FALSE
40R_medium,U28,28,FALSE
40R_medium,U29,29,FALSE
40R_medium,U30,30,FALSE
40R_medium,U31,31,FALSE
40R_medium,U32,32,FALSE
40R_medium,U33,33,FALSE
40R_medium,U34,34,FALSE
40R_medium,U35,35,FALSE
40R_medium,U36,36,FALSE
40R_medium,U37,37,FALSE
40R_medium,U38,38,FALSE
40R_medium,U39,39,FALSE
40R_medium,U40,40,FALSE
40R_low,U1,1,FALSE
40R_low,U2,2,FALSE
40R_low,U3,3,FALSE
40R_low,U4,4,FALSE
40R_low,U5,5,FALSE
40R_low,U6,6,FALSE
40R_low,U7,7,FALSE
40R_low,U8,8,FALSE
40R_low,U9,9,FALSE
40R_low,U10,10,FALSE
40R_low,U11,11,FALSE
40R_low,U12,12,FALSE
40R_low,U13,13,FALSE
40R_low,U14,14,FALSE
40R_low,U15,15,FALSE
40R_low,U16,16,FALSE
40R_low,U17,17,FALSE
40R_low,U18,18,FALSE
40R_low,U19,19,FALSE
40R_low,U20,20,FALSE
40R_low,U21,21,FALSE
40R_low,U22,22,FALSE
40R_low,U23,23,FALSE
40R_low,U24,24,FALSE
40R_low,U25,25,FALSE
40R_low,U26,26,FALSE
40R_low,U27,27,FALSE
40R_low,U28,28,FALSE
40R_low,U29,29,FALSE
40R_low,U30,30,FALSE
40R_low,U31,31,FALSE
40R_low,U32,32,FALSE
40R_low,U33,33,FALSE
40R_low,U34,34,FALSE
40R_low,U35,35,FALSE
40R_low,U36,36,FALSE
40R_low,U37,37,FALSE
40R_low,U38,38,FALSE
40R_low,U39,39,FALSE
40R_low,U40,40,FALSE
40NR_high,U41,41,FALSE
40NR_high,U42,42,FALSE
40NR_high,U43,43,FALSE
40NR_high,U44,44,FALSE
40NR_high,U45,45,FALSE
40NR_high,U46,46,FALSE
40NR_high,U47,47,FALSE
40NR_high,U48,48,FALSE
40NR_high,U49,49,FALSE
40NR_high,U50,50,FALSE
40NR_high,U51,51,FALSE
40NR_high,U52,52,FALSE
40NR_high,U53,53,FALSE
40NR_high,U54,54,FALSE
40NR_high,U55,55,FALSE
40NR_high,U56,56,FALSE
40NR_high,U57,57,FALSE
40NR_high,U58,58,FALSE
40NR_high,U59,59,FALSE
40NR_high,U60,60,FALSE
40NR_high,U61,61,FALSE
40NR_high,U62,62,FALSE
40NR_high,U63,63,FALSE
40NR_high,U64,64,FALSE
40NR_high,U65,65,FALSE
40NR_high,U66,66,FALSE
40NR_high,U67,67,FALSE
40NR_high,U68,68,FALSE
40NR_high,U69,69,FALSE
40NR_high,U70,70,FALSE
40NR_high,U71,71,FALSE
40NR_high,U72,72,FALSE
40NR_high,U73,73,FALSE
40NR_high,U74,74,FALSE
40NR_high,U75,75,FALSE
40NR_high,U76,76,FALSE
40NR_high,U77,77,FALSE
40NR_high,U78,78,FALSE
40NR_high,U79,79,FALSE
40NR_high,U80,80,FALSE
40NR_medium,U41,41,FALSE
40NR_medium,U42,42,FALSE
40NR_medium,U43,43,FALSE
40NR_medium,U44,44,FALSE
40NR_medium,U45,45,FALSE
40NR_medium,U46,46,FALSE
40NR_medium,U47,47,FALSE
40NR_medium,U48,48,FALSE
40NR_medium,U49,49,FALSE
40NR_medium,U50,50,FALSE
40NR_medium,U51,51,FALSE
40NR_medium,U52,52,FALSE
40NR_medium,U53,53,FALSE
40NR_medium,U54,54,FALSE
40NR_medium,U55,55,FALSE
40NR_medium,U56,56,FALSE
40NR_medium,U57,57,FALSE
40NR_medium,U58,58,FALSE
40NR_medium,U59,59,FALSE
40NR_medium,U60,60,FALSE
40NR_medium,U61,61,FALSE
40NR_medium,U62,62,FALSE
40NR_medium,U63,63,FALSE
40NR_medium,U64,64,FALSE
40NR_medium,U65,65,FALSE
40NR_medium,U66,66,FALSE
40NR_medium,U67,67,FALSE
40NR_medium,U68,68,FALSE
40NR_medium,U69,69,FALSE
40NR_medium,U70,70,FALSE
40NR_medium,U71,71,FALSE
40NR_medium,U72,72,FALSE
40NR_medium,U73,73,FALSE
40NR_medium,U74,74,FALSE
40NR_medium,U75,75,FALSE
40NR_medium,U76,76,FALSE
40NR_medium,U77,77,FALSE
40NR_medium,U78,78,FALSE
40NR_medium,U79,79,FALSE
40NR_medium,U80,80,FALSE
40NR_low,U41,41,FALSE
40NR_low,U42,42,FALSE
40NR_low,U43,43,FALSE
40NR_low,U44,44,FALSE
40NR_low,U45,45,FALSE
40NR_low,U46,46,FALSE
40NR_low,U47,47,FALSE
40NR_low,U48,48,FALSE
40NR_low,U49,49,FALSE
40NR_low,U50,50,FALSE
40NR_low,U51,51,FALSE
40NR_low,U52,52,FALSE
40NR_low,U53,53,FALSE
40NR_low,U54,54,FALSE
40NR_low,U55,55,FALSE
40NR_low,U56,56,FALSE
40NR_low,U57,57,FALSE
40NR_low,U58,58,FALSE
40NR_low,U59,59,FALSE
40NR_low,U60,60,FALSE
40NR_low,U61,61,FALSE
40NR_low,U62,62,FALSE
40NR_low,U63,63,FALSE
40NR_low,U64,64,FALSE
40NR_low,U65,65,FALSE
40NR_low,U66,66,FALSE
40NR_low,U67,67,FALSE
40NR_low,U68,68,FALSE
40NR_low,U69,69,FALSE
40NR_low,U70,70,FALSE
40NR_low,U71,71,FALSE
40NR_low,U72,72,FALSE
40NR_low,U73,73,FALSE
40NR_low,U74,74,FALSE
40NR_low,U75,75,FALSE
40NR_low,U76,76,FALSE
40NR_low,U77,77,FALSE
40NR_low,U78,78,FALSE
40NR_low,U79,79,FALSE
40NR_low,U80,80,FALSE
13M_high,U3,3,TRUE
13M_high,U5,5,TRUE
13M_high,U7,7,TRUE
13M_high,U11,11,TRUE
13M_high,U14,14,TRUE
13M_high,U17,17,TRUE
13M_high,U20,20,TRUE
13M_high,U25,25,TRUE
13M_high,U28,28,TRUE
13M_high,U42,42,TRUE
13M_high,U45,45,TRUE
13M_high,U51,51,TRUE
13M_high,U58,58,TRUE
13M_high_5t,U3,3,TRUE
13M_high_5t,U5,5,TRUE
13M_high_5t,U7,7,TRUE
13M_high_5t,U11,11,TRUE
13M_high_5t,U14,14,TRUE
13M_high_5t,U17,17,TRUE
13M_high_5t,U20,20,TRUE
13M_high_5t,U25,25,TRUE
13M_high_5t,U28,28,TRUE
13M_high_5t,U42,42,TRUE
13M_high_5t,U45,45,TRUE
13M_high_5t,U51,51,TRUE
13M_high_5t,U58,58,TRUE
13M_medium,U3,3,TRUE
13M_medium,U5,5,TRUE
13M_medium,U7,7,TRUE
13M_medium,U11,11,TRUE
13M_medium,U14,14,TRUE
13M_medium,U17,17,TRUE
13M_medium,U20,20,TRUE
13M_medium,U25,25,TRUE
13M_medium,U28,28,TRUE
13M_medium,U42,42,TRUE
13M_medium,U45,45,TRUE
13M_medium,U51,51,TRUE
13M_medium,U58,58,TRUE
13M_low,U3,3,TRUE
13M_low,U5,5,TRUE
13M_low,U7,7,TRUE
13M_low,U11,11,TRUE
13M_low,U14,14,TRUE
13M_low,U17,17,TRUE
13M_low,U20,20,TRUE
13M_low,U25,25,TRUE
13M_low,U28,28,TRUE
13M_low,U42,42,TRUE
13M_low,U45,45,TRUE
13M_low,U51,51,TRUE
13M_low,U58,58,TRUE
13M_low_5t,U3,3,TRUE
13M_low_5t,U5,5,TRUE
13M_low_5t,U7,7,TRUE
13M_low_5t,U11,11,TRUE
13M_low_5t,U14,14,TRUE
13M_low_5t,U17,17,TRUE
13M_low_5t,U20,20,TRUE
13M_low_5t,U25,25,TRUE
13M_low_5t,U28,28,TRUE
13M_low_5t,U42,42,TRUE
13M_low_5t,U45,45,TRUE
13M_low_5t,U51,51,TRUE
13M_low_5t,U58,58,TRUE
13NM_high,U1,1,TRUE
13NM_high,U5,5,TRUE
13NM_high,U7,7,TRUE
13NM_high,U14,14,TRUE
13NM_high,U17,17,TRUE
13NM_high,U18,18,TRUE
13NM_high,U20,20,TRUE
13NM_high,U28,28,TRUE
13NM_high,U42,42,TRUE
13NM_high,U45,45,TRUE
13NM_high,U51,51,TRUE
13NM_high,U58,58,TRUE
13NM_high,U63,63,TRUE
13NM_medium,U1,1,TRUE
13NM_medium,U5,5,TRUE
13NM_medium,U7,7,TRUE
13NM_medium,U14,14,TRUE
13NM_medium,U17,17,TRUE
13NM_medium,U18,18,TRUE
13NM_medium,U20,20,TRUE
13NM_medium,U28,28,TRUE
13NM_medium,U42,42,TRUE
13NM_medium,U45,45,TRUE
13NM_medium,U51,51,TRUE
13NM_medium,U58,58,TRUE
13NM_medium,U63,63,TRUE
13NM_low,U1,1,TRUE
13NM_low,U5,5,TRUE
13NM_low,U7,7,TRUE
13NM_low,U14,14,TRUE
13NM_low,U17,17,TRUE
13NM_low,U18,18,TRUE
13NM_low,U20,20,TRUE
13NM_low,U28,28,TRUE
13NM_low,U42,42,TRUE
13NM_low,U45,45,TRUE
13NM_low,U51,51,TRUE
13NM_low,U58,58,TRUE
13NM_low,U63,63,TRUE
