"data_id","Name","Precision","Recall","MCC"
"80M_low","U25",0.377757352941176,0.751371115173675,0.515451545979933
"80M_low","U4",0.665615141955836,0.385740402193784,0.496709275911044
"80M_low","U30",0.557422969187675,0.363802559414991,0.438238545795573
"80M_low","U3",0.593856655290102,0.318098720292505,0.423611104089794
"80M_low","U6",0.323960880195599,0.484460694698355,0.375718754029872
"80M_low","U10",0.0964997569275644,0.725776965265082,0.216200932305107
"80M_low","U21",0.0977142857142857,0.625228519195612,0.19913409553724
"80M_low","U36",0.105202754399388,0.502742230347349,0.185483475621264
"80M_low","U23",0.089064558629776,0.617915904936015,0.18357985159541
"80M_low","U7",0.0959124557450917,0.544789762340037,0.180713923701496
"80M_low","U24",0.0926966292134832,0.542961608775137,0.175433395007731
"80M_low","U20",0.110361445783133,0.418647166361974,0.173532038601025
"80M_low","U12",0.0785024154589372,0.594149908592322,0.160749145670303
"80M_low","U19",0.09375,0.411334552102377,0.150742796916951
"80M_low","U28",0.0999505195447798,0.369287020109689,0.149615552756819
"80M_low","U22",0.085203366058906,0.444241316270567,0.145103914785041
"80M_low","U9",0.0792017461802308,0.464351005484461,0.139406172780756
"80M_low","U35",0.0846333853354134,0.396709323583181,0.135113228691405
"80M_low","U1",0.0752688172043011,0.396709323583181,0.121043695372527
"80M_low","U8",0.0792792792792793,0.321755027422303,0.112920139350508
"80M_low","U34",0.0696107784431138,0.340036563071298,0.102213040161396
"80M_low","U15",0.0784108729743858,0.274223034734918,0.10220612697802
"80M_low","U27",0.0649061406299714,0.372943327239488,0.0999351894051748
"80M_low","U38",0.0705607476635514,0.276051188299817,0.0921284011756347
"80M_low","U26",0.0621506083525156,0.345521023765996,0.0908590024096152
"80M_low","U18",0.0616372391653291,0.351005484460695,0.0908064333041313
"80M_low","U13",0.0658185840707965,0.217550274223035,0.0747506005183161
"80M_low","U37",0.0779510022271715,0.127970749542962,0.067545221778868
"80M_low","U31",0.0932539682539683,0.0859232175502742,0.0651751037076345
"80M_low","U29",0.0493150684931507,0.296160877513711,0.0602583977552076
"80M_low","U16",0.0663793103448276,0.140767824497258,0.0596980518213526
"80M_low","U5",0.0482838859802211,0.303473491773309,0.0590492233151431
"80M_low","U11",0.196078431372549,0.0182815356489945,0.0523697020148808
"80M_low","U17",0.0498338870431894,0.191956124314442,0.0477497984663213
"80M_low","U33",0.0534201954397394,0.149908592321755,0.0464624844136405
"80M_low","U40",0.0650195058517555,0.0914076782449726,0.0464473952699664
"80M_low","U14",0.0461022632020117,0.20109689213894,0.0427950668603837
"80M_low","U59",0.051975051975052,0.137111517367459,0.0424680967075295
"80M_low","U39",0.0608465608465608,0.0840950639853748,0.0409680431938122
"80M_low","U43",0.0413625304136253,0.186471663619744,0.0327142067119396
"80M_low","U74",0.127272727272727,0.0127970749542962,0.0322399134448296
"80M_low","U66",0.0570902394106814,0.056672760511883,0.0306848925801673
"80M_low","U77",0.0372245384157236,0.228519195612431,0.0277892855712312
"80M_low","U41",0.0454959053685168,0.0914076782449726,0.027150580080149
"80M_low","U51",0.0441696113074205,0.0914076782449726,0.0255880047993189
"80M_low","U60",0.0371438874864767,0.188299817184644,0.0246263905709034
"80M_low","U62",0.0370510396975425,0.179159049360146,0.0237412200676839
"80M_low","U61",0.0397727272727273,0.0895795246800731,0.0198604465150926
"80M_low","U64",0.0384351407000686,0.102376599634369,0.0194296688370635
"80M_low","U58",0.0483870967741935,0.0329067641681901,0.0179432549938722
"80M_low","U45",0.0376538740043447,0.0950639853747715,0.0175738315481846
"80M_low","U70",0.0378037803780378,0.076782449725777,0.0158733071413191
"80M_low","U46",0.0372340425531915,0.076782449725777,0.0151477258970425
"80M_low","U56",0.0326797385620915,0.182815356489945,0.0144626684593701
"80M_low","U72",0.035,0.0895795246800731,0.0132410952852581
"80M_low","U42",0.0396270396270396,0.0310786106032907,0.0113464851708609
"80M_low","U57",0.032669729453803,0.117001828153565,0.0111963567839442
"80M_low","U67",0.0317545748116254,0.107861060329068,0.00907912442323973
"80M_low","U63",0.0335305719921105,0.0310786106032907,0.00633254225818601
"80M_low","U2",0,0,0
"80M_low","U32",0,0,0
"80M_low","U44",0,0,0
"80M_low","U47",0,0,0
"80M_low","U48",0,0,0
"80M_low","U49",0,0,0
"80M_low","U50",0,0,0
"80M_low","U52",0,0,0
"80M_low","U53",0,0,0
"80M_low","U54",0,0,0
"80M_low","U55",0,0,0
"80M_low","U65",0,0,0
"80M_low","U68",0,0,0
"80M_low","U69",0,0,0
"80M_low","U71",0,0,0
"80M_low","U73",0,0,0
"80M_low","U75",0,0,0
"80M_low","U76",0,0,0
"80M_low","U78",0,0,0
"80M_low","U79",0,0,0
"80M_low","U80",0,0,0
"13NM_low","U7",0.0959124557450917,0.544789762340037,0.180713923701496
"13NM_low","U20",0.110361445783133,0.418647166361974,0.173532038601025
"13NM_low","U28",0.0999505195447798,0.369287020109689,0.149615552756819
"13NM_low","U1",0.0752688172043011,0.396709323583181,0.121043695372527
"13NM_low","U18",0.0616372391653291,0.351005484460695,0.0908064333041313
"13NM_low","U5",0.0482838859802211,0.303473491773309,0.0590492233151431
"13NM_low","U17",0.0498338870431894,0.191956124314442,0.0477497984663213
"13NM_low","U14",0.0461022632020117,0.20109689213894,0.0427950668603837
"13NM_low","U51",0.0441696113074205,0.0914076782449726,0.0255880047993189
"13NM_low","U58",0.0483870967741935,0.0329067641681901,0.0179432549938722
"13NM_low","U45",0.0376538740043447,0.0950639853747715,0.0175738315481846
"13NM_low","U42",0.0396270396270396,0.0310786106032907,0.0113464851708609
